ID,DCN,noAncestralArea,Species
CENT23,40,1,C. erythraea subsp. rhodense
CENT3,40,1,C. erythraea subsp. erythraea
CENT46,40,1,C. littorale subsp. uliginosum
CENT9,20,0,C. grandiflorum subsp. majus
CENT36,20,1,C. erythraea subsp. rumelicum
CENT28,40,1,C. turcicum
CENT6,20,0,C. grandiflorum subsp. grandiflorum
CENT16,20,0,C. suffruticosum
CENT33,20,0,C. quadrifolium subsp. parviflorum
CENT34,20,0,C. quadrifolium subsp. quadrifolium
CENT14,20,0,C. quadrifolium subsp. barrelieri
CENT5,20,0,C. grandiflorum subsp. boissieri
CENT59,40,0,C. somedanum
CENT41,40,1,C. littorale subsp. littorale
CENT37,20,1,C. scilloides
CENT26,40,0,C. chloodes
CENT32,20,0,C. quadrifolium subsp. linariifolium
CENT74,40,1,C. serpentinicola
CENT17,20,1,C. tenuiflorum
CENT72,56,0,C. malzacianum
CENT29,20,1,C. maritimum
CENT25,40,0,C. discolor
CENT75,54,1,C. mairei
CENT53,36,1,C. capense
CENT44,56,0,C. centaurioides
CENT22,18,1,C. pulchellum
