Iteration	Posterior	Likelihood	Prior	clado_fission_pr	clado_fusion_pr	clado_no_change_pr	clado_polyploid_pr	clado_type[1]	clado_type[2]	clado_type[3]	clado_type[4]	clado_type[5]	delta	gamma	rho
0	-76.76072	-86.77954	10.01883	0.2488845	0.05529249	0.04565279	0.07661473	0.107054	0.583627	0.129659	0.179659	0	0.09509245	0.03167305	0.05671699
10	-61.69017	-73.84978	12.15962	0.02327596	0.01695979	0.0786024	0.07547897	0.404506	0.119783	0.0872789	0.388432	0	0.08374444	0.0557626	0.06202381
20	-61.18921	-71.2922	10.10299	0.06065081	0.01109687	0.1274927	0.09847512	0.428237	0.203721	0.0372734	0.330769	0	0.08804421	0.06819194	0.1475593
30	-61.96107	-72.4866	10.52553	0.006822251	0.06684702	0.1798935	0.1048566	0.501908	0.0190343	0.186505	0.292553	0	0.02765922	0.07929358	0.09388446
40	-57.43832	-67.93985	10.50153	0.004033412	0.01793157	0.1058213	0.1398504	0.395392	0.0150705	0.0669997	0.522538	0	0.02153472	0.1762617	0.09622371
50	-61.03814	-70.89068	9.852542	0.02871496	0.01414346	0.04799182	0.04772152	0.346332	0.207221	0.102066	0.344381	0	0.0256603	0.3738341	0.08848913
60	-61.02391	-69.99198	8.968072	0.0114048	0.01487929	0.06660054	0.1564758	0.267085	0.0457362	0.0596698	0.627509	0	0.01901804	0.1847712	0.2618527
70	-60.47072	-68.8287	8.357983	0.005373366	0.0304724	0.286785	0.1068062	0.667816	0.0125126	0.0709589	0.248712	0	0.07149224	0.1145063	0.1605757
80	-60.63284	-68.29468	7.661844	0.01255887	0.04112511	0.2905341	0.1488537	0.589233	0.0254707	0.0834059	0.301891	0	0.0502557	0.1453366	0.156961
90	-63.68265	-69.57655	5.893903	0.02371003	0.04271571	0.3340977	0.1201767	0.641632	0.0455349	0.0820351	0.230798	0	0.04288887	0.08325117	0.3755791
100	-61.94339	-70.01987	8.076485	0.007278759	0.05151711	0.1877596	0.04858938	0.636161	0.0246617	0.174549	0.164629	0	0.08417607	0.08690661	0.3379336
110	-61.39516	-71.08521	9.690048	0.00245493	0.06362528	0.1339889	0.1223144	0.41562	0.00761494	0.197359	0.379407	0	0.04939042	0.07622144	0.1948094
120	-59.77817	-69.50541	9.727241	0.01575201	0.03137845	0.1157902	0.07008253	0.496947	0.0676043	0.13467	0.300779	0	0.0748482	0.1459423	0.1852918
130	-61.4059	-69.20675	7.800848	0.01104461	0.02136192	0.2251841	0.09328765	0.641773	0.031477	0.0608813	0.265869	0	0.1558434	0.1018236	0.2231796
140	-64.68501	-68.88436	4.199355	0.03875977	0.0496653	0.4603184	0.08649388	0.72464	0.0610162	0.0781839	0.13616	0	0.02641775	0.2466549	0.2835641
150	-59.53986	-67.40905	7.869191	0.04297881	0.005292053	0.1918999	0.2024585	0.433545	0.0970989	0.0119559	0.4574	0	0.0182317	0.2839115	0.08011798
160	-60.41792	-68.29377	7.875856	0.04941721	0.01208295	0.1895919	0.1716795	0.44845	0.116889	0.0285803	0.406081	0	0.02033918	0.3502441	0.03086915
170	-60.82923	-67.24807	6.418843	0.04306185	0.003507933	0.2244318	0.3752737	0.34727	0.0666308	0.00542792	0.580672	0	0.03820419	0.2543488	0.03109705
180	-61.47725	-72.34275	10.86549	0.01331407	0.007490802	0.01738922	0.2880639	0.053299	0.0408084	0.0229597	0.882933	0	0.0387199	0.1144532	0.045829
190	-55.67472	-68.08468	12.40996	0.002162702	0.006767354	0.03621466	0.0318028	0.470641	0.0281062	0.0879477	0.413305	0	0.0367638	0.174372	0.08273032
200	-58.03144	-67.83782	9.806381	0.01538195	0.008735384	0.1415562	0.09773718	0.537397	0.0583953	0.0331626	0.371045	0	0.06327184	0.1468408	0.1576482
210	-58.88699	-69.93232	11.04533	0.01613984	0.01692537	0.06122483	0.07414426	0.363494	0.0958228	0.100486	0.440197	0	0.04326184	0.1374111	0.1581693
220	-61.87306	-70.84241	8.969352	0.002360212	0.04464261	0.1207574	0.06037562	0.529322	0.0103456	0.195684	0.264648	0	0.1588254	0.1618181	0.1660951
230	-64.83321	-70.18488	5.35167	0.003665316	0.06611643	0.3060733	0.08410858	0.665429	0.00796871	0.143743	0.182859	0	0.180285	0.2116718	0.2247221
240	-65.79567	-69.96736	4.171686	0.00193232	0.04378199	0.1583078	0.4176808	0.254636	0.00310811	0.0704227	0.671833	0	0.08510333	0.163207	0.3246277
250	-57.73672	-67.34099	9.604271	0.002761114	0.008769411	0.05299944	0.1278893	0.275437	0.0143495	0.0455745	0.664639	0	0.04030536	0.3076767	0.1109811
260	-57.54403	-68.11293	10.5689	0.009148529	0.003955675	0.04527952	0.02605879	0.536217	0.10834	0.0468446	0.308598	0	0.06205035	0.2906423	0.1177842
270	-57.56324	-69.36999	11.80675	0.01062096	0.001601432	0.05134231	0.02809342	0.56015	0.115876	0.0174718	0.306502	0	0.1044246	0.1520949	0.08295665
280	-57.02098	-66.27742	9.256447	0.01400112	0.002015534	0.1741864	0.1248302	0.552914	0.0444433	0.00639784	0.396245	0	0.03578711	0.2787629	0.05658159
290	-61.86819	-70.79122	8.923037	0.07180259	0.008736536	0.2857629	0.1422012	0.561969	0.141204	0.0171809	0.279647	0	0.02628175	0.1135776	0.07114313
300	-61.29489	-70.96168	9.66679	0.01488986	0.04527934	0.1375379	0.2213164	0.328234	0.0355347	0.108059	0.528172	0	0.02046589	0.105459	0.1001821
310	-65.85916	-71.85066	5.991507	0.04107826	0.147186	0.1192359	0.2503245	0.213752	0.0736401	0.263857	0.448751	0	0.02213002	0.3530328	0.07967142
320	-63.03939	-70.76878	7.729386	0.01515324	0.06877307	0.3611222	0.1195619	0.639595	0.0268384	0.121806	0.21176	0	0.007512944	0.1636826	0.1030649
330	-58.23338	-68.28693	10.05355	0.03783561	0.002857394	0.1530939	0.1475643	0.448494	0.110841	0.00837083	0.432295	0	0.01373011	0.1900438	0.06132948
340	-61.53717	-70.80959	9.272421	0.08545633	0.001818723	0.166745	0.120273	0.445493	0.228314	0.00485909	0.321334	0	0.02676133	0.2671564	0.01635671
