NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.000183689	4.23662e-07	1.03605e-10	9.05645e-18	4.06585e-20	1.19594e-22	2.47503e-25	3.79472e-28	9.59443e-30	0.974649	0.0251398	2.70732e-05	4.62973e-09	2.1737e-13	2.26417e-19	6.30241e-22	1.2494e-24	1.84955e-27	1.96288e-30	1.83574e-33	1.45714e-36	1.04819e-39	7.24882e-43	4.88428e-46	3.09588e-49	1.7657e-52	8.81514e-56	3.81336e-59	1.42936e-62	4.90306e-66	1.4635e-69	3.83101e-73	8.85978e-77	1.82237e-80	3.35415e-84	5.5543e-88	8.31581e-92	1.13067e-95	1.40226e-99	1.6382e-103	
N2	9.425e-07	8.61451e-11	3.72186e-15	1.53792e-16	4.33155e-18	7.08814e-20	7.42264e-22	7.36634e-14	4.09405e-10	0.998636	0.00136344	5.65478e-08	3.19675e-13	1.37219e-15	3.49948e-17	5.3169e-19	4.95435e-21	1.60297e-13	3.80532e-15	3.62493e-17	4.06102e-21	2.51138e-26	3.40602e-32	8.46914e-35	6.54153e-37	3.41064e-39	1.24679e-41	3.54091e-34	4.92522e-36	2.27193e-38	1.19471e-42	3.61871e-48	2.10674e-54	1.03166e-57	4.25666e-60	1.21058e-62	2.32809e-65	2.9128e-68	2.22961e-71	1.03309e-74	
N3	9.93978e-08	2.51117e-12	5.24866e-15	1.40043e-15	1.90144e-16	1.35092e-17	4.78954e-19	5.55493e-19	4.0623e-10	0.999573	0.000426473	3.80971e-09	4.00848e-14	8.33107e-15	1.01734e-15	6.6915e-17	2.23053e-18	3.08979e-20	4.91945e-23	4.61406e-26	7.27867e-31	6.9771e-37	5.23475e-42	2.78882e-43	1.0274e-44	2.53433e-46	3.98165e-48	3.23037e-50	4.49609e-53	2.48241e-56	1.47726e-61	4.71429e-68	8.77634e-75	1.23045e-76	1.7597e-78	1.68146e-80	9.69259e-83	2.66633e-85	1.18042e-88	4.80148e-92	
N4	2.22023e-13	4.44162e-20	1.57486e-22	7.09213e-25	1.78289e-27	2.6248e-30	4.80553e-25	6.03742e-11	0.992208	0.00779224	1.72606e-08	5.99716e-16	3.00623e-21	1.06003e-23	2.28986e-26	3.03547e-29	1.30747e-23	1.51483e-14	4.25969e-17	3.38462e-20	1.23e-26	9.64967e-35	4.44338e-40	5.09207e-43	3.96498e-46	2.06961e-49	1.24508e-49	6.2308e-52	9.92211e-55	5.63779e-58	5.63867e-64	8.79035e-72	7.9342e-72	6.44242e-73	4.29027e-74	2.24652e-75	8.88058e-77	2.50109e-78	4.58946e-80	4.88356e-82	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.82309e-21	8.70003e-30	3.8112e-32	1.6934e-34	3.863e-37	1.38653e-32	1.08655e-12	0.554547	0.00820901	6.1556e-07	9.82137e-15	1.91708e-24	2.66779e-31	8.26612e-34	1.73816e-36	2.93676e-33	8.49048e-13	0.431168	0.0060746	4.73849e-07	7.6471e-15	1.51724e-24	3.2942e-30	1.24288e-32	2.74377e-35	4.66705e-30	2.52542e-17	6.16619e-17	3.7843e-17	2.45416e-19	1.30294e-23	4.37011e-31	1.27886e-35	1.12142e-35	8.4322e-36	4.3732e-36	1.48366e-36	2.95702e-37	2.63802e-38	1.24999e-40	
N6	2.11185e-27	5.44818e-29	4.92942e-31	1.72635e-33	2.43233e-36	1.23295e-39	4.9836e-24	0.317115	0.000166589	2.27146e-10	4.29353e-20	5.22797e-28	3.47524e-30	1.07852e-32	1.49937e-35	8.23851e-39	1.0762e-23	0.682385	0.000333389	4.82087e-10	9.31821e-20	1.41866e-25	9.77803e-28	3.22509e-30	4.91348e-33	3.07605e-36	8.43906e-30	5.47915e-21	1.13579e-25	7.18194e-33	1.55844e-27	9.21537e-34	1.2352e-33	1.00162e-33	4.72333e-34	1.16941e-34	1.15269e-35	4.5206e-38	3.25854e-41	6.44201e-44	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	4.70516e-10	1.05566e-13	2.53383e-15	2.65478e-17	1.41592e-19	4.08499e-22	6.38046e-25	5.02772e-28	1.72339e-21	0.99999	1.02858e-05	1.84019e-12	1.40529e-14	1.29976e-16	6.39657e-19	1.74123e-21	2.59047e-24	1.93052e-27	1.45756e-25	1.48183e-17	1.36397e-23	7.47939e-31	2.18969e-33	5.58892e-36	8.798e-39	8.56877e-42	4.99273e-45	1.58456e-48	2.11099e-52	1.35673e-57	5.33386e-65	1.1715e-73	2.04514e-77	7.37469e-81	1.92722e-84	3.5186e-88	4.22728e-92	3.00215e-96	1.00797e-100	1.12757e-105	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	6.8154e-05	5.85112e-08	4.383e-12	8.11463e-14	3.16708e-14	7.01617e-15	9.02705e-16	6.61768e-17	2.84863e-18	0.984655	0.0152711	6.08245e-06	2.85841e-10	6.33155e-14	2.19942e-14	4.62712e-15	5.70357e-16	4.0085e-17	1.27316e-18	2.11695e-20	2.79904e-24	3.16424e-29	8.06484e-35	6.74325e-39	2.72275e-40	8.12697e-42	1.72035e-43	2.44473e-45	2.10526e-47	9.3242e-50	3.52532e-54	1.26742e-59	1.17268e-65	1.49661e-70	4.49382e-71	2.14553e-71	8.08216e-72	2.21749e-72	4.03304e-73	4.22991e-74	
