NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	2.10912e-06	1.59236e-09	4.76669e-08	1.53628e-12	0.106369	8.17033e-05	7.57554e-09	2.34365e-13	6.79699e-19	0.887633	0.00591229	1.79465e-06	9.00191e-11	5.52079e-18	1.88485e-20	5.22754e-23	1.07736e-25	1.59902e-28	1.64163e-31	1.35463e-34	8.67136e-38	4.42092e-41	1.83555e-44	6.3241e-48	1.83706e-51	4.561e-55	9.79335e-59	1.83738e-62	3.03931e-66	4.56941e-70	6.13405e-74	7.40082e-78	8.07149e-82	7.99751e-86	7.23097e-90	5.98895e-94	4.55911e-98	3.19939e-102	2.0759e-106	1.29837e-110	
N2	6.27707e-08	1.28308e-07	2.43372e-07	2.285e-06	0.0299299	1.79871e-06	4.10034e-06	2.63736e-06	5.30549e-05	0.969801	0.000204188	2.29322e-08	1.18946e-10	4.75964e-07	5.68684e-09	1.39215e-12	1.22263e-15	4.19507e-14	1.90361e-16	1.72503e-18	1.57727e-23	1.3346e-26	1.1922e-30	2.89369e-33	2.74257e-36	1.1104e-41	8.34329e-45	1.87444e-36	1.19651e-38	3.73096e-41	3.07376e-46	2.75822e-50	1.47192e-54	2.06136e-57	9.17389e-61	8.03109e-65	1.73853e-69	1.68341e-72	2.66116e-76	1.53323e-79	
N3	1.28664e-08	3.05107e-09	9.18594e-08	3.38244e-09	0.0105232	1.74503e-06	1.01339e-07	2.68861e-09	5.51908e-05	0.989366	5.3113e-05	1.23314e-07	1.01699e-08	3.64372e-10	3.82385e-13	1.74804e-16	1.17094e-19	1.25328e-21	3.13376e-25	1.7667e-28	8.88387e-35	2.87859e-38	7.01982e-41	5.04573e-43	1.51558e-46	1.1821e-50	4.58549e-53	2.58105e-55	1.34792e-58	3.86274e-62	2.79487e-68	1.26231e-71	8.73715e-76	3.0428e-78	3.97041e-82	4.10642e-85	4.93559e-90	1.16996e-92	1.06538e-96	6.75394e-100	
N4	7.55769e-14	1.68102e-12	3.03678e-13	1.57631e-10	1.43332e-06	2.5892e-12	3.41766e-15	4.27069e-09	0.993771	0.00622772	1.36025e-09	6.87025e-14	2.35721e-17	1.90018e-20	8.50602e-24	2.12175e-28	8.03767e-25	6.64804e-16	2.79132e-19	2.37369e-22	3.71455e-30	3.04147e-34	1.69462e-38	3.97687e-42	3.91727e-46	1.19579e-52	1.03674e-52	3.32374e-55	2.71351e-58	1.19695e-61	2.12634e-68	3.1474e-71	2.9716e-71	7.68187e-73	6.23941e-75	2.23782e-77	7.99655e-81	2.35138e-82	8.95642e-85	1.61771e-86	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	4.6267e-20	1.06343e-15	3.68119e-18	2.13458e-08	1.02994e-10	2.85059e-17	5.83712e-11	0.022914	0.0229424	9.36994e-07	1.04986e-15	7.40654e-22	2.93033e-26	9.66541e-17	9.26348e-20	1.48409e-22	2.12046e-12	0.953938	0.000204455	2.53947e-08	1.16714e-17	7.28801e-22	1.20676e-27	1.12656e-30	3.68445e-34	7.58468e-30	2.24204e-18	4.7801e-18	1.66049e-18	8.49289e-21	1.19062e-25	4.38073e-26	2.55406e-30	1.73084e-30	9.17407e-33	3.24437e-33	2.42507e-37	4.79256e-38	8.47794e-41	8.50269e-43	
N6	6.82135e-24	8.03389e-18	2.84351e-20	3.44678e-10	1.67473e-13	6.33647e-16	1.54185e-12	0.0131577	0.00112126	5.47295e-10	3.47255e-18	1.68818e-20	3.40368e-25	3.46633e-15	3.51134e-21	6.29888e-24	2.42352e-18	0.985709	1.19897e-05	1.99956e-11	1.2652e-20	4.44369e-23	1.73863e-27	1.61443e-30	1.31341e-35	6.28681e-39	2.72466e-31	1.06917e-22	7.67477e-28	2.24589e-35	5.03188e-26	4.72756e-26	6.13135e-29	2.37312e-29	1.45453e-33	3.57078e-34	3.10858e-37	9.07249e-40	1.58815e-43	9.80199e-46	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.13821e-10	2.7044e-12	3.52102e-12	7.38315e-15	0.000158143	5.02534e-08	2.36281e-10	4.5113e-13	2.917e-16	0.999841	8.55112e-07	3.14907e-09	1.45673e-12	6.21123e-15	1.19994e-18	1.47843e-21	1.27255e-25	7.38038e-29	9.17468e-27	1.1601e-18	4.98572e-26	2.09472e-29	3.85063e-33	2.84645e-36	5.04448e-40	5.73571e-44	5.87836e-48	1.27082e-51	7.63851e-56	2.36048e-61	2.79516e-68	6.65195e-72	4.94776e-78	8.95596e-82	8.114e-87	8.06701e-91	7.2676e-97	3.81518e-101	1.33104e-106	2.21145e-111	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.89179e-07	3.46511e-08	1.48433e-06	2.44918e-07	0.0689573	2.0298e-05	1.46416e-07	3.11462e-08	2.19553e-09	0.927821	0.00319756	1.577e-06	2.03504e-08	2.99443e-09	1.39662e-10	2.35138e-14	5.35546e-17	2.97247e-18	9.83963e-21	1.78127e-22	2.14092e-27	3.59376e-30	1.60851e-34	1.93163e-36	9.99861e-39	4.15027e-44	1.31895e-47	1.28199e-49	5.01355e-52	1.74285e-54	1.4535e-59	7.71699e-64	9.56801e-68	1.75059e-68	1.64515e-69	7.42245e-72	9.85956e-75	2.85263e-75	6.94809e-77	1.27609e-77	
N9	1.88097e-10	2.78329e-13	5.75965e-14	5.79257e-18	5.16444e-05	2.04068e-10	2.92543e-14	3.9844e-18	3.35158e-22	0.999946	2.16081e-06	4.7907e-11	6.4038e-15	7.56083e-19	2.20472e-23	1.59549e-28	9.8778e-34	2.3478e-38	3.50138e-32	2.41171e-23	1.59676e-30	1.08981e-35	4.09167e-23	9.21679e-25	7.87601e-27	3.24702e-30	2.13759e-32	2.56696e-34	1.28725e-36	4.22541e-39	2.37592e-44	1.64413e-47	3.53042e-33	2.01512e-32	3.30246e-32	7.32049e-32	2.89801e-32	2.00593e-31	4.71853e-31	2.74812e-30	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	2.23566e-10	3.01388e-12	5.59679e-11	7.4296e-14	0.00113707	1.62169e-08	2.0606e-11	4.00825e-14	2.97506e-17	0.99883	3.28696e-05	1.74781e-09	2.38437e-12	3.09837e-15	1.16409e-18	2.8873e-23	1.65161e-27	1.81356e-30	3.15513e-32	2.56277e-33	1.81702e-37	3.49662e-39	5.73386e-39	4.02935e-40	1.31785e-41	4.62078e-45	1.04946e-46	7.79054e-48	2.73093e-49	8.13967e-51	5.47213e-55	2.43093e-57	5.81883e-60	2.75363e-61	4.38646e-63	3.34023e-65	5.31174e-68	2.93039e-69	3.54733e-71	1.40192e-72	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	5.43418e-13	4.26791e-16	1.15409e-14	3.45556e-17	0.000124074	6.39268e-11	2.15244e-15	4.14655e-18	2.38372e-20	0.999874	2.3015e-06	5.00506e-12	1.65491e-16	8.91999e-20	2.45822e-22	4.53384e-29	8.94074e-34	2.67951e-36	8.8774e-41	1.34113e-40	1.07495e-47	1.06801e-51	3.32994e-58	5.54779e-61	2.3331e-61	1.49722e-48	3.15655e-49	9.09379e-48	5.99612e-46	4.13308e-38	6.49051e-41	1.38625e-42	8.14057e-44	5.26129e-43	7.07518e-37	2.01081e-37	3.32457e-39	5.47454e-37	1.08278e-36	1.09521e-34	
N12	2.71939e-14	1.70638e-15	2.01112e-14	3.32182e-16	1.27388e-05	1.42147e-12	4.26713e-14	9.33008e-16	9.08922e-18	0.999987	2.1337e-07	5.31424e-14	1.73709e-16	3.11144e-18	1.64167e-20	7.15328e-25	8.64687e-29	5.8156e-31	6.06851e-30	1.0883e-18	2.19441e-25	9.73611e-28	1.39973e-30	1.21678e-31	2.16473e-33	2.30929e-39	2.70126e-42	3.28e-44	1.56042e-46	4.51685e-49	2.08979e-57	2.77501e-62	2.2726e-68	1.107e-70	3.67035e-74	1.56576e-77	1.90676e-83	4.90864e-86	2.75419e-90	3.45434e-93	
