NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.629471	0.259911	0.0814282	0.0207508	0.00698647	0.00129031	0.00014095	1.55088e-05	4.40771e-06	1.19349e-06	1.17126e-07	4.65292e-09	9.43728e-11	9.69339e-13	1.27526e-17	6.00464e-19	1.97274e-20	4.67868e-22	8.2803e-24	1.12614e-25	1.207e-27	1.04162e-29	7.3713e-32	4.34541e-34	2.16301e-36	9.19927e-39	3.37756e-41	1.08037e-43	3.03519e-46	7.54372e-49	1.66957e-51	3.30985e-54	5.90935e-57	9.54905e-60	1.40312e-62	1.88316e-65	2.31872e-68	2.63162e-71	2.77961e-74	3.29489e-77	
N2	0.061064	0.19406	0.150941	0.294627	0.0655227	0.0942719	0.0605805	0.0683864	0.00729193	0.00203703	0.000392508	0.000716122	8.15769e-05	2.66077e-05	9.09578e-07	9.25031e-08	3.87773e-10	6.23473e-12	2.30232e-14	6.07605e-16	2.38385e-18	6.1433e-19	6.64296e-20	3.70574e-20	7.82293e-22	7.13075e-23	1.34312e-24	1.64553e-25	6.65436e-28	1.91457e-29	1.09327e-31	2.81408e-33	2.20306e-36	8.31087e-39	6.58769e-42	5.44471e-44	2.23703e-47	1.03228e-49	5.24008e-52	6.71768e-54	
N3	0.0285636	0.120451	0.112984	0.30645	0.147526	0.103293	0.0508761	0.0828069	0.0293406	0.0157791	0.0013353	0.000573562	1.78633e-05	2.62102e-06	5.38975e-08	4.13267e-09	1.60756e-11	2.52254e-13	4.65924e-16	1.98731e-17	1.85174e-20	4.8716e-22	1.79843e-24	7.37022e-26	5.70055e-29	7.15718e-31	1.34363e-33	2.15841e-35	1.29094e-38	7.49748e-41	6.48298e-44	8.84182e-46	2.16737e-49	5.40571e-52	1.34487e-55	1.32855e-57	1.66977e-61	6.05135e-64	5.87107e-66	1.11167e-67	
N4	3.62628e-06	0.000302317	0.00105411	0.0242284	0.00663334	0.0155305	0.299627	0.558555	0.0911304	0.00207171	0.00015301	0.000478387	0.000155661	7.60198e-05	4.3002e-07	5.11875e-09	3.89527e-12	9.73797e-15	5.39418e-18	1.17353e-20	2.08205e-24	1.73241e-27	5.91815e-30	3.29305e-30	1.07402e-31	9.38601e-33	9.45166e-35	6.41112e-37	1.53825e-40	1.95228e-43	5.84141e-47	8.47523e-50	4.81955e-54	1.42451e-57	1.12263e-61	6.72851e-65	2.37316e-69	7.66985e-73	2.27393e-76	1.46288e-79	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.10597e-10	2.24483e-07	6.68361e-06	0.000338041	1.74402e-05	0.00121036	0.677732	0.175002	0.00480247	6.31541e-05	1.32284e-05	2.95111e-05	0.000944072	0.128626	0.0069655	0.00423544	1.19147e-05	8.23983e-07	8.87797e-11	5.15161e-12	3.22592e-13	4.48339e-13	2.57296e-14	1.15489e-12	7.27475e-13	7.3955e-12	4.58133e-12	2.2939e-12	4.28332e-16	5.64481e-18	4.17656e-21	4.9882e-23	6.92174e-28	4.8426e-31	5.99763e-35	1.96348e-37	8.84848e-43	1.16691e-46	4.3687e-51	7.52892e-54	
N6	3.94767e-14	3.9466e-10	4.49796e-08	6.36589e-06	5.48972e-06	0.000112456	0.634485	0.19908	0.0100172	1.91647e-06	3.38921e-06	2.01406e-05	5.32467e-05	0.122814	0.0228721	0.010235	0.000244766	4.88172e-05	1.89336e-09	5.40015e-12	8.16039e-15	3.88195e-13	1.9816e-13	3.6666e-12	1.98855e-12	9.05673e-12	4.51449e-12	1.63673e-12	6.28323e-17	3.97516e-21	2.94873e-26	3.01129e-29	7.55492e-35	5.89454e-39	1.29251e-44	1.37901e-47	1.96426e-53	1.84037e-56	2.28933e-59	1.77752e-62	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	3.36542e-07	2.30132e-05	4.70252e-05	0.00160859	0.106602	0.00162284	1.17914e-05	0.000388948	0.020427	0.85651	0.0124887	0.000268296	5.59533e-07	3.32865e-09	3.78872e-11	7.49997e-11	1.46708e-11	7.20032e-12	6.30282e-13	1.61196e-13	2.1046e-16	8.66873e-19	7.75399e-22	3.10627e-24	5.91967e-28	6.11166e-31	1.77723e-34	2.65531e-37	2.52849e-41	1.49508e-44	2.59072e-48	2.15773e-51	9.76875e-56	2.00991e-59	1.08957e-63	4.83307e-67	1.42063e-71	3.62039e-75	1.25897e-78	8.70868e-82	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.276785	0.34845	0.133399	0.146653	0.0513689	0.030904	0.00243659	0.00458437	0.00132741	0.00274106	0.00055331	0.000770354	2.17968e-05	4.30032e-06	1.70036e-07	6.46224e-08	3.33933e-10	1.28608e-11	8.64004e-14	1.03738e-14	2.42145e-17	7.43904e-19	5.80764e-21	4.92755e-22	5.4559e-25	5.33258e-27	9.3815e-30	4.28648e-31	3.28355e-34	6.81247e-36	2.752e-38	1.14849e-39	4.70048e-43	1.92857e-45	1.13513e-48	2.40885e-50	7.36248e-54	6.3261e-56	4.8189e-58	1.82956e-59	
N9	5.1077e-11	3.04978e-08	5.67176e-08	1.82622e-05	0.0114826	1.67771e-05	1.19736e-08	3.99163e-06	0.00213177	0.984468	0.0018754	3.58389e-06	8.66027e-10	4.20384e-13	1.73105e-15	3.31213e-15	8.08385e-16	4.07277e-16	5.1332e-17	1.1158e-17	2.49917e-21	9.91291e-25	1.02529e-28	2.71211e-32	7.75312e-37	6.37635e-41	1.71001e-45	1.68605e-49	2.26013e-54	1.20105e-58	2.13607e-63	1.17608e-67	6.89942e-73	1.27539e-77	7.91204e-83	2.12231e-87	1.113e-92	3.01232e-97	8.53222e-102	2.81682e-106	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	6.83026e-06	0.000315681	0.000457762	0.0105575	0.281485	0.00759254	4.92204e-05	0.000749403	0.0227921	0.658385	0.0171019	0.00050654	1.11843e-06	6.25724e-09	8.78536e-12	3.63056e-14	1.17946e-17	1.17435e-20	3.26443e-24	4.16368e-27	5.30928e-31	3.09455e-34	5.76201e-38	4.6083e-41	2.70399e-45	6.63624e-49	5.03581e-53	2.30774e-56	9.23901e-61	2.41324e-64	1.89581e-68	6.33824e-72	1.32368e-76	1.17559e-80	2.9745e-85	5.32933e-89	9.27625e-94	1.33928e-97	2.18839e-101	5.78926e-105	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	3.3487e-08	6.05181e-06	1.41976e-05	0.00101215	0.165967	0.000809936	9.43343e-07	4.23749e-05	0.00754395	0.818325	0.0062448	3.27359e-05	9.02879e-09	1.13321e-11	1.35571e-15	1.72989e-17	6.05218e-22	5.23933e-24	6.91473e-28	2.06008e-29	8.16573e-34	3.44574e-36	8.43942e-41	3.6435e-43	3.05995e-48	1.61948e-51	1.19289e-56	2.26125e-59	6.9314e-65	2.45483e-68	1.12467e-72	3.61664e-75	5.39223e-81	7.26623e-85	2.21994e-89	4.45109e-92	4.47814e-98	6.3464e-102	2.66308e-106	3.94783e-109	
N12	6.20039e-10	1.18814e-07	1.39395e-06	0.000177924	0.0594815	0.000179622	2.84276e-07	1.53196e-05	0.00666132	0.926636	0.00683071	1.58425e-05	6.68941e-09	1.7296e-11	7.49707e-14	5.4266e-13	8.81293e-14	3.07874e-13	2.68221e-14	2.29057e-14	1.87992e-17	2.68326e-19	1.22056e-22	1.25474e-24	1.91627e-28	4.48529e-31	4.17793e-35	5.43281e-37	2.23386e-41	1.04911e-43	6.2131e-47	9.38034e-49	2.69802e-53	1.41121e-55	9.32239e-59	1.57966e-60	6.93449e-65	4.10526e-67	2.82122e-70	3.67907e-72	
N13	1.68566e-14	4.88705e-11	1.28446e-09	1.2338e-06	0.0030869	1.35166e-06	4.54565e-10	2.46849e-07	0.00108649	0.994649	0.00117479	2.88445e-07	1.87754e-11	3.95622e-15	7.10758e-18	2.85316e-17	6.66026e-18	9.46368e-17	5.00669e-16	2.45115e-15	2.90355e-18	3.33578e-21	2.69905e-25	1.53141e-28	3.26797e-33	1.95826e-35	4.49519e-36	1.82556e-36	1.20349e-37	5.9512e-36	8.28395e-38	2.35566e-38	3.05497e-41	4.98759e-42	1.59127e-42	2.62361e-43	5.82686e-46	5.84673e-47	5.89559e-49	5.94713e-50	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	8.0168e-17	4.92918e-13	3.88326e-11	9.81385e-08	0.000667761	1.06847e-07	1.84327e-11	3.61111e-08	0.000466819	0.998357	0.000508499	4.2558e-08	1.12472e-12	7.75807e-17	3.08664e-19	1.49132e-17	2.72559e-17	3.82728e-16	1.19474e-15	1.66929e-15	1.60239e-19	7.28613e-24	7.40943e-29	6.31295e-33	1.96328e-38	2.81325e-42	4.63791e-48	2.7089e-51	3.51679e-57	6.30628e-60	3.74006e-64	1.49401e-66	4.87899e-72	1.07208e-74	3.65348e-79	6.17487e-82	6.99524e-87	8.35294e-90	1.14788e-94	1.02417e-97	
CENT37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	1.53506e-10	5.90949e-08	4.76095e-07	0.000112185	0.0676206	0.000108303	7.40595e-08	6.32713e-06	0.00446769	0.923798	0.00388154	4.89177e-06	8.55978e-10	9.32871e-13	2.29537e-16	3.75861e-18	7.762e-22	6.52988e-24	1.12107e-27	5.23149e-30	6.80724e-35	2.45167e-38	1.95494e-43	7.50436e-47	3.55278e-52	3.98181e-56	1.6654e-61	1.63877e-64	3.81747e-70	1.52195e-73	7.86394e-78	1.34797e-80	2.47516e-86	9.12686e-90	3.41244e-94	3.72731e-97	5.57148e-103	1.67257e-106	5.54923e-111	4.36702e-114	
