#Nodes with GAIN events with expectation above 0.5
N2: 1.41221
N4: 0.73163
CENT22: 1.22903
CENT53: 1.49242
N7: 1.057
CENT72: 1.27923
N8: 0.752193
N9: 2.10305
N10: 1.68718
Total number of gain events: 13.5614
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N2: 0.771925
N4: 0.754304
N5: 0.598324
CENT75: 1.1748
N7: 0.742257
CENT72: 1.31894
N9: 1.54237
N10: 1.04555
Total number of loss events: 10.2284
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 1.61209
N4: 0.888156
CENT44: 1.81309
CENT53: 0.843612
CENT75: 1.84446
N7: 1.07849
CENT25: 1.11
CENT72: 2.99531
N8: 0.783905
N9: 2.33118
CENT74: 1.01152
N10: 1.90158
CENT26: 1.00309
CENT41: 1.00067
CENT59: 1.05986
CENT46: 1.00031
N25: 0.931327
Total number of duplication events: 24.8895
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N22:ML=10 to CENT28:ML=30  sum expections= 0.0714686
	HEURISTIC ESTIMATION:	Gains = 10	Losses = 0	Duplications = 1	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	1.41221	0.771925	1.61209	0
N3	0.272804	0.242673	0.26047	0
N4	0.73163	0.754304	0.888156	0
CENT22	1.22903	0.0859429	0.0475791	0
N5	0.03736	0.598324	0.166933	0
N6	0.0741449	0.0152732	0.0158277	0
CENT44	0.00583713	0.227624	1.81309	0
CENT53	1.49242	4.72404e-05	0.843612	0
CENT75	0.0141573	1.1748	1.84446	0
N7	1.057	0.742257	1.07849	0
CENT25	0.0629077	0.0537014	1.11	0
CENT29	0.0702336	0.0621822	0.109995	0
CENT72	1.27923	1.31894	2.99531	0
N8	0.752193	0.333369	0.783905	0
N9	2.10305	1.54237	2.33118	0
CENT17	0.00715206	0.00689295	0.0115178	0
CENT74	0.00569748	0.00536828	1.01152	0
N10	1.68718	1.04555	1.90158	0
CENT32	0.32243	0.323124	0.303672	0
N11	0.0333857	0.0257311	0.1332	0
N12	0.0317336	0.029987	0.107992	0
N13	0.0469639	0.0470323	0.0567566	0
CENT26	0.0209547	0.0210192	1.00309	0
N14	0.00377232	0.00381913	0.00242152	0
CENT37	0.0138606	0.0139023	0.000667966	0
CENT41	0.00892863	0.00896988	1.00067	0
CENT59	0.0902499	0.0901811	1.05986	0
N15	0.0201018	0.0191553	0.0999883	0
N16	0.0342061	0.0334055	0.0529609	0
CENT5	0.0566875	0.056881	0.0148857	0
N17	0.0084953	0.00858759	0.0113152	0
N18	0.00263965	0.00266222	0.00203289	0
CENT14	0.0156221	0.0156994	0.00153749	0
CENT34	0.0156221	0.0156994	0.00153749	0
CENT33	0.0263021	0.0264	0.00357039	0
N19	0.0220346	0.0250827	0.0559365	0
N20	0.00594413	0.0252602	0.00580276	0
N21	0.0208217	0.00413195	0.0033299	0
CENT16	0.0277687	0.0214542	0.00277368	0
CENT6	0.0277687	0.0214542	0.00277368	0
N22	0.00880878	0.3086	0.00142129	0
CENT28	10	0	1	0
CENT36	0.339378	0.0162713	0.00474057	0
N23	0.0116918	0.00812425	0.0108563	0
N24	0.00304604	0.00291931	0.000739902	0
CENT9	0.0183564	0.0183704	0.000309716	0
CENT46	0.0115953	0.0116001	1.00031	0
N25	0.0106771	0.0105472	0.931327	0
CENT3	0.00359145	0.00360775	0.0697229	0
CENT23	0.00359145	0.00360775	0.0697229	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
CENT22	3.64567	1.85484	2.8083	0
CENT44	2.53398	2.61012	4.75657	0
CENT53	4.02057	2.38255	3.78709	0
CENT75	2.46816	3.54203	4.77211	0
CENT25	2.80491	1.81056	4.06106	0
CENT29	2.81224	1.81904	3.06105	0
CENT72	2.69143	2.09086	4.6074	0
CENT17	2.8624	1.88263	3.1266	0
CENT74	2.86094	1.88111	4.1266	0
CENT32	2.76181	1.70205	2.98915	0
CENT26	2.57242	1.50269	3.98652	0
CENT37	2.56909	1.4994	2.98652	0
CENT41	2.56416	1.49446	3.98652	0
CENT59	2.59475	1.52482	3.98653	0
CENT5	2.58376	1.5141	2.98652	0
CENT14	2.55383	1.48416	2.98652	0
CENT34	2.55383	1.48416	2.98652	0
CENT33	2.56187	1.4922	2.98652	0
CENT16	2.56943	1.49974	2.98651	0
CENT6	2.56943	1.49974	2.98651	0
CENT28	12.5297	1.78275	3.98183	0
CENT36	2.86903	1.79902	2.98657	0
CENT9	2.54799	1.47831	2.98651	0
CENT46	2.54123	1.47154	3.98651	0
CENT3	2.54086	1.47117	3.98651	0
CENT23	2.54086	1.47117	3.98651	0
