NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.000788924	0.0160704	0.157767	0.0611793	0.470735	0.0617221	0.00266624	0.000222146	0.228849	3.00523e-20	4.13743e-41	6.42011e-61	2.27292e-69	5.07509e-69	2.31109e-72	3.1365e-71	3.72482e-70	3.849e-69	2.35437e-68	1.14914e-75	1.55358e-74	1.97749e-73	2.23043e-72	2.18182e-71	1.80466e-70	1.313e-69	1.14375e-68	6.13461e-68	2.0791e-67	5.34844e-46	3.71632e-44	1.009e-42	2.54812e-42	2.85201e-41	8.12578e-41	1.0642e-40	1.11814e-40	5.05934e-40	7.67441e-40	7.67441e-40	
N2	1.05383e-06	0.000160766	0.00750844	0.00690521	0.115488	0.162108	0.0309628	0.0129803	0.663886	1.15128e-12	5.9985e-23	1.90295e-32	1.71934e-32	1.55108e-31	4.19802e-35	4.36925e-34	1.02947e-33	4.83758e-32	1.69284e-32	4.27073e-39	2.7486e-38	5.6147e-37	4.73907e-36	2.46888e-34	2.68868e-34	1.04845e-32	1.21512e-31	4.17885e-31	1.33509e-30	1.30647e-38	3.47695e-49	4.76568e-59	6.51974e-70	9.61264e-81	4.62459e-92	1.24694e-101	2.57515e-113	3.04159e-124	1.94602e-135	1.23641e-144	
N3	8.73337e-08	3.5256e-05	0.00381335	0.00397933	0.105333	0.0992685	0.029077	0.00577482	0.752719	5.65441e-11	4.54392e-32	8.22526e-53	1.75618e-64	1.71609e-74	1.50984e-86	7.20772e-98	2.4142e-109	8.06695e-119	2.67212e-130	5.90117e-142	2.13013e-152	1.14518e-164	1.36382e-176	7.5316e-187	2.60806e-199	1.97199e-209	3.4968e-220	5.06346e-231	1.28349e-243	3.58614e-50	1.0349e-45	1.66945e-41	9.55565e-42	6.77118e-39	6.68329e-38	3.44621e-35	1.35086e-36	7.97338e-34	1.18339e-32	8.11664e-31	
N4	6.68805e-15	1.98081e-10	9.21502e-07	2.65086e-06	2.11763e-05	0.00691518	4.27669e-06	0.00275888	0.990297	1.15226e-14	3.33691e-24	5.09525e-34	8.79951e-54	1.41031e-62	5.00927e-72	4.84832e-82	2.30272e-92	7.57248e-102	1.87694e-125	1.76575e-147	5.42981e-163	6.40452e-173	2.55591e-183	2.33258e-193	1.33554e-204	1.80701e-214	5.08177e-225	1.4467e-244	4.10879e-257	7.31821e-268	4.48705e-278	6.47046e-290	4.09042e-302	4.49839e-312	0	0	5.79139e-35	8.39835e-35	6.77991e-35	6.08461e-33	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.61854e-22	2.04062e-16	2.68518e-11	1.20123e-10	4.16444e-10	1.23466e-05	1.79529e-10	2.75334e-06	0.0511719	1.41952e-11	5.7755e-09	0.00027043	8.95377e-11	7.88901e-15	7.42133e-14	2.68693e-09	4.46027e-07	0.948542	3.79573e-23	2.02222e-34	3.01994e-32	6.68612e-29	3.44966e-27	7.87855e-24	7.6765e-24	8.74519e-20	4.53275e-18	2.58634e-29	3.75019e-42	3.29705e-53	4.04987e-64	7.07291e-75	2.27461e-88	2.42676e-100	4.11322e-113	5.67446e-121	6.4499e-135	1.01223e-146	6.86502e-159	8.46348e-170	
N6	4.17802e-29	2.05953e-21	9.21003e-15	5.29711e-14	5.07326e-12	2.52106e-07	2.15484e-09	1.70573e-08	0.0265879	5.56803e-14	1.71212e-11	8.80544e-06	9.35191e-13	7.11131e-09	1.22173e-16	9.3241e-13	5.73075e-09	0.973403	3.12751e-12	1.16598e-36	4.92113e-51	4.96152e-62	7.03837e-72	1.9262e-79	3.9257e-91	9.22573e-98	2.84711e-106	1.26908e-118	1.21099e-143	1.13555e-168	1.04913e-193	1.07203e-217	8.43547e-244	3.09454e-267	1.16711e-293	3.30855e-312	0	0	0	0	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	6.74836e-15	1.28268e-10	5.48878e-07	6.54532e-07	0.00248538	3.75401e-05	0.00121591	1.37546e-06	0.0133066	0.982952	9.45287e-16	1.96623e-24	4.72716e-34	2.24794e-54	2.13062e-64	2.81282e-74	7.26772e-85	5.06798e-93	4.90906e-104	1.54659e-114	3.30287e-137	9.99324e-161	3.08896e-184	1.1404e-206	3.29222e-231	1.32495e-253	6.32481e-277	7.78603e-301	0	0	0	0	0	0	0	0	0	2.27822e-226	1.46177e-238	2.74103e-249	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.000101841	0.00392123	0.0589088	0.0286971	0.463376	0.0408488	0.0269381	0.000733454	0.142568	0.233907	2.52912e-22	5.06261e-42	2.16774e-62	6.01448e-73	3.87104e-84	4.69761e-95	7.99827e-107	1.84026e-115	2.65265e-127	6.46972e-138	4.15664e-149	9.2503e-161	3.77516e-172	3.68813e-182	1.34893e-194	2.6322e-204	3.97435e-215	1.66168e-226	4.14618e-234	1.98988e-232	1.68213e-54	8.78322e-49	1.24465e-44	1.69047e-44	1.21287e-38	5.99092e-36	3.71117e-37	5.83393e-37	6.04581e-37	2.28395e-31	
N9	3.88676e-17	1.43502e-12	1.54047e-08	1.62055e-08	0.000574388	1.76193e-07	0.000124936	1.76727e-08	0.000245915	0.999055	7.12263e-17	5.03316e-26	5.39838e-36	1.38432e-58	1.84865e-68	2.46942e-78	1.22493e-88	7.24036e-98	1.11806e-108	1.02611e-118	1.27232e-142	1.4326e-166	5.35659e-191	4.98025e-215	2.53708e-240	1.60517e-264	5.31201e-289	6.07522e-314	0	0	0	0	0	0	7.62678e-198	2.2951e-209	6.76731e-223	1.70079e-235	2.17772e-248	2.16786e-259	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	4.36149e-12	1.19916e-08	9.42046e-06	7.79712e-06	0.0152791	2.49286e-05	0.00211053	1.14676e-06	0.00271396	0.979853	5.94092e-23	7.08097e-45	1.12681e-66	1.68292e-77	1.56842e-88	6.39522e-100	1.24447e-111	9.63373e-122	7.37341e-133	1.23593e-143	1.96224e-155	5.99396e-167	1.03585e-178	9.04419e-190	5.36659e-202	1.61162e-206	2.6771e-215	1.17091e-224	7.52241e-237	1.52822e-244	5.19936e-257	2.34184e-268	2.06993e-280	2.46966e-292	1.42833e-302	5.42699e-313	0	0	3.63424e-33	1.94575e-31	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.14867e-16	1.14778e-11	7.45366e-08	5.14001e-08	0.0026485	2.42901e-07	0.000184212	6.2018e-09	0.000184619	0.996982	1.73599e-24	3.41007e-45	4.67933e-54	2.21051e-63	1.72005e-60	4.70434e-60	1.08684e-58	2.26757e-55	1.0015e-54	1.01324e-50	1.38458e-63	1.2572e-74	2.39942e-86	9.08158e-99	8.47025e-112	2.70835e-115	2.11526e-124	3.74633e-49	6.99104e-49	5.09785e-41	6.95785e-43	4.03736e-40	2.56273e-40	1.80559e-40	6.10175e-39	2.77572e-37	6.72586e-38	1.08061e-37	8.36231e-38	8.78965e-35	
N12	8.53824e-20	1.66875e-14	6.689e-10	4.28541e-10	0.000400069	5.75752e-08	1.92518e-05	9.13416e-09	1.95861e-05	0.999561	5.16373e-16	4.13568e-25	6.54889e-23	1.13478e-38	8.92563e-33	8.80976e-31	6.03883e-28	3.00806e-25	3.89173e-24	3.16801e-18	4.67062e-41	2.04057e-62	2.36778e-83	1.81967e-106	1.03597e-129	4.56749e-152	7.08241e-175	1.29353e-197	1.03438e-134	4.209e-139	1.08608e-149	3.40259e-161	2.65062e-169	2.66129e-181	3.28057e-193	3.64797e-205	1.3865e-218	9.04356e-228	1.43294e-239	1.70337e-247	
N13	1.26931e-27	1.83792e-20	4.63398e-14	2.83295e-14	5.72434e-06	1.29207e-10	2.26404e-07	2.05313e-11	1.91424e-07	0.999994	3.40034e-17	1.2576e-28	5.40536e-39	6.00183e-42	7.36225e-34	1.47662e-30	7.82003e-29	1.01825e-24	5.017e-24	4.25167e-18	2.47519e-30	6.51035e-42	3.20725e-51	8.43946e-64	2.49735e-76	6.52436e-88	1.70668e-100	1.75312e-112	3.18984e-125	3.35296e-132	1.32824e-145	5.66828e-158	1.9724e-170	7.8955e-183	3.38387e-195	5.33592e-208	1.69481e-221	2.20836e-233	1.53593e-245	2.81262e-253	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	3.41799e-27	5.98168e-24	1.10615e-16	5.7707e-17	4.67943e-07	4.46105e-12	1.14489e-08	6.5052e-13	1.05685e-08	1	9.28963e-18	3.10612e-29	4.62782e-39	9.03362e-63	3.83435e-68	8.85059e-80	4.68423e-90	1.66948e-101	2.12432e-111	3.11924e-116	2.4897e-141	9.47691e-167	4.49327e-191	1.09541e-216	8.10053e-242	2.36568e-265	2.68628e-291	1.3224e-315	0	0	0	0	0	0	1.3187e-199	4.58908e-213	3.54145e-227	8.41341e-238	4.24392e-251	2.87719e-257	
CENT37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
