#Nodes with GAIN events with expectation above 0.5
CENT44: 0.973403
N7: 0.860231
Total number of gain events: 3.70162
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.94703
CENT25: 0.997657
CENT72: 1.16983
CENT74: 1.00054
CENT26: 1.00001
CENT41: 1
CENT59: 1.00038
CENT28: 1
CENT46: 1
N25: 0.976847
Total number of duplication events: 11.6067
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N2: 0.537177
CENT44: 0.999991
CENT75: 1.00028
CENT72: 1.09593
CENT28: 1
Total number of demi-dulications events: 5.75466
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.433007	0	0.135673	0.537177
N3	0.0283026	0	0.00267986	0.081849
N4	0.170673	0	0.00432844	0.207497
CENT22	0.00279019	0	1.58821e-06	0.00694114
N5	0.00100203	0	0.94703	0.0101708
N6	1.83818e-06	0	0.0245975	0.000276436
CENT44	0.973403	0	0.0265879	0.999991
CENT53	9.16118e-09	0	0.0265882	9.08486e-06
CENT75	3.22961e-06	0	0.051187	1.00028
N7	0.860231	0	0.101783	0.146178
CENT25	0.00901165	0	0.997657	0.0108778
CENT29	0.013372	0	0.00243821	0.00133965
CENT72	0.370275	0	1.16983	1.09593
N8	0.218048	0	0.125652	0.139519
N9	0.332302	0	0.455171	0.282534
CENT17	0.000246143	0	0.000566845	0.000140276
CENT74	0.000210977	0	1.00054	0.000195374
N10	0.282723	0	0.478454	0.226815
CENT32	0.00305924	0	0.0143384	0.00390655
N11	0.00256482	0	0.0124265	0.0024024
N12	0.000167473	0	0.00221207	0.000237324
N13	2.12771e-05	0	0.00038768	3.15507e-05
CENT26	1.54761e-07	0	1.00001	7.16632e-07
N14	1.81132e-07	0	5.20457e-06	3.18688e-07
CENT37	1.05742e-08	0	4.62076e-07	2.31886e-08
CENT41	7.75468e-09	0	1	1.70899e-08
CENT59	1.23847e-05	0	1.00038	6.30979e-05
N15	0.000174826	0	0.00225448	0.000233942
N16	1.0242e-05	0	0.000331675	2.4471e-05
CENT5	4.80116e-07	0	2.44762e-05	1.81683e-06
N17	2.95225e-07	0	2.29908e-05	1.46881e-06
N18	7.04146e-09	0	1.34047e-06	5.48731e-08
CENT14	7.00293e-10	0	3.2832e-07	1.40369e-08
CENT34	7.00293e-10	0	3.2832e-07	1.40369e-08
CENT33	7.96532e-09	0	1.66345e-06	7.95266e-08
N19	1.04018e-05	0	0.000344783	2.59397e-05
N20	1.3184e-07	0	1.06817e-05	7.05575e-07
N21	2.14105e-09	0	4.28488e-07	1.77735e-08
CENT16	2.50388e-10	0	1.15645e-07	5.02384e-09
CENT6	2.50388e-10	0	1.15645e-07	5.02384e-09
N22	2.30163e-09	0	5.20052e-07	2.64374e-08
CENT28	2.13242e-54	0	1	1
CENT36	6.49597e-11	0	2.17154e-08	1.10141e-09
N23	1.32239e-07	0	1.09934e-05	6.62675e-07
N24	1.85516e-09	0	2.29242e-07	8.67912e-09
CENT9	1.70895e-10	0	3.09384e-08	1.40829e-09
CENT46	1.25259e-10	0	1	5.60568e-10
N25	1.91622e-09	0	0.976847	7.12361e-09
CENT3	9.71595e-10	0	0.0231533	3.00693e-08
CENT23	9.71595e-10	0	0.0231533	3.00693e-08
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
CENT22	0.634773	0	0.142682	0.833464
CENT44	1.60639	0	1.1409	1.83696
CENT53	0.632986	0	1.1409	0.83698
CENT75	0.632988	0	1.1409	1.83698
CENT25	1.33055	0	1.23779	0.776082
CENT29	1.33491	0	0.242574	0.766543
CENT72	0.803282	0	1.3055	1.63311
CENT17	0.550595	0	0.58139	0.422193
CENT74	0.55056	0	1.58136	0.422248
CENT32	0.50383	0	0.618444	0.37024
CENT26	0.503524	0	1.61914	0.369005
CENT37	0.503524	0	0.619138	0.369005
CENT41	0.503524	0	1.61914	0.369005
CENT59	0.503515	0	1.61912	0.369036
CENT5	0.503521	0	0.619143	0.368996
CENT14	0.503521	0	0.619143	0.368996
CENT34	0.503521	0	0.619143	0.368996
CENT33	0.503521	0	0.619143	0.368996
CENT16	0.503521	0	0.619143	0.368996
CENT6	0.503521	0	0.619143	0.368996
CENT28	0.503521	0	1.61914	1.369
CENT36	0.503521	0	0.619143	0.368996
CENT9	0.503521	0	0.619143	0.368996
CENT46	0.503521	0	1.61914	0.368996
CENT3	0.503521	0	1.61914	0.368996
CENT23	0.503521	0	1.61914	0.368996
