NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.000172181	0.00431035	0.0536576	0.0315499	0.654828	0.00341439	0.000841243	0.000131935	0.251094	4.17626e-20	9.82383e-41	5.36749e-61	1.64861e-69	8.60904e-69	1.1679e-72	1.69193e-71	2.11748e-70	2.00389e-69	1.34857e-68	9.31148e-76	1.37411e-74	1.90136e-73	2.29705e-72	2.37359e-71	2.0469e-70	1.48209e-69	1.08407e-68	5.858e-68	2.11728e-67	2.17981e-64	1.05276e-45	4.21642e-44	6.91178e-43	1.07891e-41	3.38365e-41	7.1358e-41	9.54221e-41	1.03895e-40	8.12733e-40	8.12733e-40	
N2	2.64987e-07	4.64347e-05	0.00286501	0.00195732	0.240916	0.103589	0.0510685	0.00881414	0.590744	1.95753e-12	9.95604e-23	3.1951e-32	1.99439e-32	4.71316e-31	3.82433e-35	4.58335e-34	8.26286e-34	3.81267e-32	1.19436e-32	1.23304e-38	3.52088e-38	9.27825e-37	4.84802e-36	4.29092e-34	3.9466e-34	1.08978e-32	1.05784e-31	9.3977e-31	1.44121e-30	4.45475e-38	9.97925e-49	2.74531e-58	3.0422e-69	5.334e-80	1.63565e-91	1.40938e-100	5.16985e-112	7.06926e-123	2.78747e-134	1.22439e-142	
N3	2.32139e-08	1.11847e-05	0.00159981	0.00137991	0.229186	0.0473502	0.0436223	0.00640338	0.670447	2.09263e-10	2.04065e-31	4.12846e-52	5.07502e-64	2.11691e-73	1.89994e-85	8.35931e-97	1.61332e-108	7.12123e-118	2.3868e-129	1.86856e-140	6.48884e-151	5.30258e-163	5.58525e-175	4.30257e-185	1.13441e-197	1.39068e-207	2.04716e-218	1.47973e-228	3.49258e-241	2.89555e-50	3.00801e-46	7.11929e-42	3.09301e-42	5.15045e-39	3.1602e-38	2.13933e-35	7.44842e-37	1.10188e-33	7.99019e-33	1.68292e-30	
N4	1.10721e-15	3.91832e-11	3.28961e-07	3.70328e-07	1.75042e-05	0.00540891	2.12948e-06	0.00212388	0.992447	1.49028e-14	3.6221e-24	8.72892e-34	2.13548e-53	5.65811e-62	2.35384e-71	4.04286e-81	1.5951e-91	8.42165e-101	2.35297e-124	2.11506e-145	3.9935e-161	7.23593e-171	2.31222e-181	5.62289e-191	2.6835e-202	3.59442e-212	1.22584e-222	8.56874e-242	1.12059e-254	2.48067e-265	1.08154e-275	2.83448e-287	9.48049e-300	4.32403e-309	6.57107e-322	0	1.05085e-34	1.18922e-34	3.93403e-35	2.61904e-32	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.19547e-23	4.86001e-17	1.44696e-11	1.58783e-11	2.83585e-10	9.8889e-06	1.1237e-10	2.22047e-06	0.0923714	1.69708e-12	7.82576e-10	9.35693e-05	1.21279e-10	3.31602e-15	1.23899e-14	2.88471e-09	4.77588e-07	0.907522	4.57135e-23	1.74049e-34	9.23865e-33	6.14808e-29	1.72866e-27	3.24656e-23	2.93225e-23	1.673e-19	9.72731e-18	7.57358e-29	1.05548e-41	1.34249e-52	3.13714e-64	1.26167e-73	3.08592e-87	6.09577e-99	1.55864e-112	1.95287e-119	2.61759e-133	3.90242e-145	1.224e-157	5.79274e-168	
N6	1.4764e-29	5.70963e-22	9.33997e-15	6.09e-15	4.77453e-12	3.23159e-07	2.56435e-09	9.91348e-09	0.0586387	1.24447e-14	4.02467e-12	2.72717e-06	6.26631e-13	6.79924e-09	2.77353e-17	6.2596e-13	5.2984e-09	0.941358	3.96681e-12	2.25927e-36	3.0371e-51	6.95871e-62	8.57021e-72	1.22008e-78	3.9288e-90	1.26915e-96	6.22678e-105	3.72479e-117	4.12998e-142	6.01725e-167	3.67992e-192	3.51532e-215	2.35833e-241	5.90589e-264	1.75667e-290	1.60851e-308	0	0	0	0	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.7168e-15	4.03941e-11	1.8007e-07	3.04696e-07	0.00722374	7.19073e-06	0.000504188	5.45479e-07	0.00697632	0.985288	3.44132e-16	1.49718e-24	2.51799e-34	1.77311e-54	2.02318e-64	1.12598e-73	2.9228e-84	3.66742e-92	3.50121e-103	1.98448e-113	3.2675e-136	2.85689e-159	8.01695e-183	2.32311e-204	9.93666e-229	4.20697e-251	3.25992e-274	9.19381e-298	2.42092e-322	0	0	0	0	0	0	0	0	3.4722e-224	1.17191e-236	7.39407e-247	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	2.23211e-05	0.000939612	0.0143232	0.0107706	0.584335	0.00301505	0.00297495	0.000254131	0.127239	0.256126	3.08113e-22	5.74562e-42	4.65662e-62	1.30185e-72	1.04988e-83	2.17915e-94	3.18972e-106	2.79812e-114	3.65609e-126	1.55424e-136	4.441e-148	1.88628e-159	5.98612e-171	9.959e-181	3.90473e-193	2.3231e-202	4.56763e-213	2.53695e-224	6.94193e-233	4.2745e-231	4.87763e-55	7.11602e-49	2.22618e-45	9.21219e-45	1.08565e-38	5.53605e-35	2.18375e-36	2.56361e-36	8.13584e-37	2.91218e-31	
N9	9.73866e-18	4.11795e-13	3.09419e-09	7.69917e-09	0.000964672	1.55977e-08	1.61405e-05	2.58129e-09	8.01897e-05	0.998939	2.08349e-17	1.47164e-26	2.05572e-36	9.6472e-59	1.68788e-68	3.5315e-78	2.07829e-88	3.21341e-97	5.86671e-108	1.7277e-117	1.72174e-141	3.81589e-165	1.44686e-189	3.24028e-213	2.23101e-238	3.66917e-262	1.97743e-286	4.737e-311	0	0	0	0	0	0	9.98799e-197	1.75158e-207	6.40228e-221	1.93578e-233	1.48162e-246	4.79976e-257	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.18008e-12	3.5618e-09	2.03359e-06	3.72143e-06	0.0255106	2.14627e-06	0.000231287	3.08091e-07	0.00130419	0.972946	7.21553e-23	9.26875e-45	1.45212e-66	2.95681e-77	4.53089e-88	2.54466e-99	4.14353e-111	9.61316e-121	9.25432e-132	4.21148e-142	3.61835e-154	1.74965e-165	2.24128e-177	3.4012e-188	1.32492e-200	1.19758e-204	2.47284e-213	9.90382e-223	1.01912e-234	8.76926e-242	2.62348e-254	1.78886e-265	1.22411e-277	1.99436e-289	4.39057e-300	1.18503e-309	2.17389e-322	0	1.49407e-33	2.0577e-31	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.13162e-16	3.46112e-12	1.31207e-08	3.0097e-08	0.00639706	1.45233e-08	1.22255e-05	1.52874e-09	7.50179e-05	0.993516	2.47499e-24	7.33432e-46	7.88802e-55	3.18208e-64	4.85577e-61	1.43019e-60	2.75423e-59	1.12059e-55	4.83875e-55	1.61756e-50	1.96299e-63	1.76533e-74	1.96101e-86	1.2911e-98	8.60126e-112	5.53252e-115	5.84372e-124	1.34391e-133	1.90495e-51	9.46841e-43	3.44373e-43	1.29883e-42	3.50284e-40	1.8789e-40	1.74887e-39	4.25747e-37	2.44689e-39	7.66016e-38	2.03766e-38	1.70806e-34	
