NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.0682196	0.0682203	0.0681738	0.0679933	0.0675648	0.0667611	0.0654579	0.0635501	0.0609668	0.0576845	0.053734	0.0492011	0.0442208	0.0389648	0.0336242	0.0283904	0.0234368	0.0189043	0.0148915	0.0114518	0.00859524	0.00629569	0.00450039	0.00314034	0.00214002	0.00142524	0.000928663	0.000592926	0.000371754	0.000229573	0.000140203	8.51425e-05	5.17899e-05	3.18554e-05	2.00547e-05	1.31154e-05	9.06379e-06	6.73952e-06	5.48145e-06	4.93371e-06	
N2	0.0122095	0.0133654	0.0151579	0.0176418	0.0208547	0.0247983	0.0294187	0.0345911	0.0401112	0.0456997	0.0510182	0.0556991	0.0593841	0.0617671	0.0626324	0.0618845	0.0595607	0.0558264	0.0509531	0.045283	0.0391877	0.033026	0.0271101	0.021681	0.0168984	0.0128418	0.0095207	0.00689132	0.00487482	0.00337455	0.00229017	0.00152765	0.00100529	0.000656221	0.00042844	0.000283327	0.000193412	0.000140052	0.000111376	0.000100732	
N3	0.011074	0.0121458	0.0138349	0.0162216	0.019383	0.0233705	0.0281821	0.033735	0.0398429	0.0462084	0.0524337	0.0580538	0.062589	0.0656091	0.0667973	0.066	0.0632531	0.0587772	0.0529444	0.0462224	0.0391094	0.0320707	0.02549	0.0196393	0.0146715	0.0106306	0.00747444	0.00510301	0.00338631	0.00218731	0.00137823	0.000849977	0.00051568	0.000310191	0.000187191	0.000115321	7.43195e-05	5.17052e-05	4.02225e-05	3.6073e-05	
N4	1.74198e-06	4.33623e-06	1.32829e-05	4.07641e-05	0.00012001	0.000333151	0.000863301	0.00207483	0.00460519	0.00941134	0.0176694	0.0304218	0.0479626	0.0691559	0.0910946	0.109519	0.120081	0.119995	0.109228	0.0905348	0.0683145	0.0469231	0.0293404	0.0167052	0.00866391	0.00409548	0.00176587	0.000695188	0.000250194	8.24428e-05	2.49213e-05	6.9278e-06	1.77656e-06	4.21954e-07	9.3306e-08	1.93418e-08	3.79744e-09	7.22496e-10	1.45256e-10	4.45888e-11	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.69485e-16	3.0989e-15	4.74992e-14	6.87213e-13	9.09484e-12	1.08939e-10	1.17103e-09	1.12131e-08	9.50245e-08	7.08532e-07	4.62353e-06	2.62719e-05	0.000129364	0.000549412	0.00200334	0.00624367	0.0165603	0.0372257	0.0706436	0.112775	0.150974	0.169041	0.157977	0.123053	0.0798343	0.0431422	0.0194346	0.00730932	0.00230023	0.000607435	0.000135062	2.53826e-05	4.04879e-06	5.50597e-07	6.41372e-08	6.43402e-09	5.60471e-10	4.34156e-11	3.33225e-12	4.35278e-13	
N6	3.03747e-24	1.24018e-22	7.44399e-21	4.08767e-19	1.95997e-17	8.12044e-16	2.88702e-14	8.74694e-13	2.24182e-11	4.82234e-10	8.63262e-09	1.27442e-07	1.53668e-06	1.49818e-05	0.000116886	0.000722324	0.00350196	0.0132101	0.0385253	0.0864951	0.149147	0.197305	0.200158	0.155677	0.0928181	0.0424267	0.0148791	0.0040119	0.000834993	0.000134974	1.70833e-05	1.70901e-06	1.36513e-07	8.79695e-09	4.6195e-10	1.99611e-11	7.16735e-13	2.16999e-14	5.90824e-16	2.51096e-17	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	9.75481e-05	0.000174063	0.00039207	0.000922547	0.00210631	0.00453446	0.00908964	0.0168596	0.0288297	0.0453404	0.0654673	0.0866714	0.105095	0.116627	0.118375	0.10985	0.0931807	0.0722486	0.0512124	0.033197	0.0196881	0.0106895	0.00531736	0.00242554	0.00101566	0.000390863	0.000138427	4.51844e-05	1.36166e-05	3.79586e-06	9.81089e-07	2.35746e-07	5.28372e-08	1.109e-08	2.19052e-09	4.09697e-10	7.32062e-11	1.27509e-11	2.34488e-12	6.5798e-13	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0593259	0.0616342	0.0633964	0.0645604	0.0650773	0.0649063	0.0640199	0.0624091	0.0600886	0.0571002	0.053514	0.049427	0.0449592	0.0402472	0.0354351	0.0306658	0.0260709	0.0217634	0.0178311	0.0143334	0.0113008	0.00873694	0.00662286	0.00492212	0.00358691	0.00256367	0.00179796	0.0012382	0.000838277	0.000558831	0.000367707	0.000239625	0.000155414	0.000101015	6.64461e-05	4.48383e-05	3.16123e-05	2.38258e-05	1.96899e-05	1.824e-05	
N9	7.80055e-10	6.89048e-09	7.60664e-08	7.47272e-07	6.26575e-06	4.42307e-05	0.000259963	0.00125846	0.00496683	0.0158436	0.0405893	0.0832112	0.136328	0.178495	0.186847	0.156413	0.104694	0.056014	0.0239577	0.00820353	0.00225735	0.000502427	9.12629e-05	1.36711e-05	1.70775e-06	1.79878e-07	1.6148e-08	1.2481e-09	8.385e-11	4.94044e-12	2.57455e-13	1.19618e-14	4.99344e-16	1.8869e-17	6.50102e-19	2.05643e-20	6.01169e-22	1.63425e-23	4.18353e-25	1.32452e-26	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.00297595	0.0042208	0.00687623	0.0114282	0.0184426	0.0283708	0.0412728	0.0565327	0.0726968	0.0875773	0.0986815	0.103879	0.102066	0.0935447	0.0799378	0.0636745	0.0472723	0.0327097	0.021097	0.0126862	0.00711435	0.00372218	0.00181769	0.000828974	0.000353299	0.000140815	5.25335e-05	1.83633e-05	6.02173e-06	1.85515e-06	5.37897e-07	1.47109e-07	3.80551e-08	9.34528e-09	2.18946e-09	4.93064e-10	1.08141e-10	2.37387e-11	5.60381e-12	1.87569e-12	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.000559204	0.000872549	0.00169764	0.00351446	0.00711535	0.0135801	0.0240551	0.0392629	0.0588234	0.0806961	0.101192	0.115846	0.120959	0.115111	0.0997934	0.0787875	0.0566391	0.037074	0.0220985	0.0119975	0.00593455	0.00267566	0.00110011	0.000412715	0.000141371	4.42471e-05	1.26642e-05	3.31764e-06	7.96299e-07	1.75309e-07	3.54453e-08	6.59127e-09	1.12925e-09	1.78648e-10	2.61845e-11	3.57753e-12	4.62101e-13	5.86922e-14	8.3137e-15	2.01792e-15	
N12	4.22247e-05	7.20846e-05	0.000162936	0.000405565	0.00100596	0.00237455	0.00522332	0.0105997	0.0197401	0.0336376	0.0523521	0.0743291	0.0961915	0.113399	0.12173	0.118951	0.10579	0.0856255	0.0630736	0.0422892	0.0258127	0.0143478	0.00726506	0.00335263	0.00141073	0.000541585	0.000189813	6.07753e-05	1.77906e-05	4.76507e-06	1.16877e-06	2.62769e-07	5.42069e-08	1.02739e-08	1.79273e-09	2.89239e-10	4.36555e-11	6.40045e-12	1.04138e-12	2.91597e-13	
N13	2.09688e-09	1.04462e-08	7.58837e-08	5.41652e-07	3.50713e-06	2.00773e-05	0.000100266	0.000433053	0.00160756	0.00510414	0.0138062	0.0317067	0.0616472	0.101237	0.14016	0.163382	0.160233	0.132186	0.0917647	0.0536581	0.0264673	0.0110346	0.00389793	0.00116992	0.000299281	6.54743e-05	1.22935e-05	1.98837e-06	2.78077e-07	3.37539e-08	3.56956e-09	3.30109e-10	2.6795e-11	1.91597e-12	1.21145e-13	6.80433e-15	3.42187e-16	1.57566e-17	7.26606e-19	5.44204e-20	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
