NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.737934	0.206705	0.0361815	0.0138456	0.00486078	0.000429297	3.1156e-05	5.21407e-06	4.1614e-06	2.41093e-06	4.26558e-07	2.88922e-08	1.07125e-09	2.85154e-11	5.95533e-13	1.66843e-17	1.77223e-18	1.58811e-19	1.21206e-20	7.99571e-22	4.63005e-23	2.38733e-24	1.10998e-25	4.70481e-27	1.8352e-28	6.64151e-30	2.24564e-31	7.13752e-33	2.14388e-34	6.114e-36	1.66229e-37	4.32439e-39	1.07991e-40	2.59631e-42	6.02511e-44	1.3529e-45	2.9468e-47	6.25253e-49	1.31356e-50	3.00512e-52	
N2	0.0301359	0.208764	0.108768	0.41817	0.0478372	0.0496115	0.0305517	0.0908524	0.011808	0.0028918	0.000200308	0.000313301	4.95775e-05	3.80022e-05	6.79111e-06	2.10972e-06	2.5659e-08	1.67072e-09	2.94423e-11	2.38345e-12	1.83458e-14	1.42997e-15	6.43107e-17	1.15314e-17	2.08367e-19	8.76791e-20	1.93887e-20	1.26472e-20	1.00679e-21	2.64007e-22	2.06453e-23	2.79327e-24	1.62773e-26	1.33153e-27	3.31101e-29	2.73475e-30	6.99953e-32	5.17158e-33	2.98622e-34	1.99085e-35	
N3	0.00933617	0.110929	0.0797493	0.427446	0.121384	0.0650542	0.0315905	0.0985043	0.0381244	0.0161462	0.00111458	0.000590857	2.38755e-05	5.73047e-06	4.21317e-07	7.19244e-08	8.24558e-10	3.76141e-11	3.05241e-13	2.69967e-14	1.00693e-16	9.26806e-18	2.71241e-19	3.51038e-20	1.56817e-22	1.40405e-23	3.52977e-25	2.85268e-26	3.63372e-28	2.28763e-29	4.67083e-31	2.53463e-32	5.96078e-35	2.46125e-36	1.77594e-38	9.65201e-40	6.33212e-42	4.55328e-43	3.07281e-44	2.24743e-45	
N4	3.42365e-07	0.000115512	0.000639946	0.021242	0.0069	0.0102507	0.270972	0.589201	0.0985483	0.00194671	1.89825e-05	6.47658e-05	4.11066e-05	5.74482e-05	1.89327e-06	7.58129e-08	2.50347e-10	2.80755e-12	8.89545e-15	6.87645e-17	6.04128e-20	2.69538e-22	4.27483e-25	7.48154e-27	1.7583e-27	3.17651e-27	1.1726e-27	7.91656e-29	4.49256e-31	7.67022e-33	3.88374e-35	3.22927e-37	2.40136e-40	1.41939e-42	3.14062e-45	1.54943e-47	2.79748e-50	1.30255e-52	4.31388e-55	1.58721e-57	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.04773e-11	6.19794e-08	1.71719e-06	0.000277106	8.74172e-06	0.000580626	0.726487	0.188341	0.00526557	9.86712e-06	1.48659e-06	2.5868e-06	4.44433e-05	0.0378002	0.0162076	0.0244053	0.000458694	0.000107629	4.59859e-08	6.05222e-10	1.35755e-13	6.91743e-13	7.08221e-14	5.59406e-13	5.69742e-13	1.41949e-10	3.12588e-09	1.16296e-08	4.5658e-11	7.19697e-12	1.03908e-13	4.55814e-15	6.00546e-19	1.32614e-20	4.72958e-23	6.42859e-25	1.39109e-29	1.13398e-31	2.08784e-34	1.65962e-36	
N6	8.00603e-16	4.97347e-11	1.32804e-08	4.8092e-06	3.15308e-06	5.33545e-05	0.693886	0.204575	0.00957552	6.01746e-07	3.51923e-07	4.81567e-06	4.14356e-05	0.0330538	0.0229915	0.0331366	0.00201679	0.000656093	6.45099e-08	2.73457e-10	5.2572e-14	8.80842e-15	3.47443e-14	2.27841e-12	2.67663e-11	6.79203e-10	5.19461e-09	1.1614e-08	2.94757e-12	9.40257e-15	2.85791e-18	8.36151e-21	1.04288e-25	1.99226e-28	7.32329e-33	4.82602e-35	1.85424e-38	1.45222e-40	7.61928e-43	2.51162e-45	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	3.35951e-08	8.88965e-06	1.5846e-05	0.00149181	0.104941	0.000538469	2.9608e-06	0.000269838	0.0175192	0.857711	0.0170165	0.000482954	2.02628e-06	2.3683e-08	9.77166e-11	7.04805e-11	3.10529e-11	4.39752e-11	1.21911e-11	8.82805e-12	5.08684e-14	1.18192e-15	7.96734e-18	1.12826e-19	1.85513e-22	1.67718e-24	5.79184e-27	3.97166e-29	5.96048e-32	3.34299e-34	7.30407e-37	2.96525e-39	1.17145e-42	4.202e-45	5.44361e-48	2.06283e-50	2.93205e-53	1.26337e-55	4.3792e-58	1.5651e-60	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.230122	0.402079	0.10924	0.166101	0.0597247	0.0230371	0.00110574	0.00319039	0.00104825	0.00260645	0.000580241	0.00110523	3.90059e-05	1.65577e-05	2.33158e-06	1.60298e-06	1.5672e-08	2.14929e-09	6.48441e-11	2.07309e-11	1.62507e-13	2.93981e-14	1.86845e-15	4.49174e-16	1.62883e-18	1.54137e-19	3.78873e-21	7.83912e-22	1.05906e-23	2.01828e-24	1.13732e-25	1.76277e-26	2.92337e-29	2.57762e-30	4.08487e-32	5.94907e-33	6.23743e-35	9.39783e-36	9.61718e-37	1.46416e-37	
N9	4.60301e-12	8.79736e-09	1.39526e-08	1.19848e-05	0.00960921	4.38645e-06	2.2903e-09	2.11461e-06	0.00156921	0.986307	0.00248975	6.01651e-06	2.65033e-09	2.55073e-12	1.72977e-15	2.70314e-15	1.70011e-15	2.57489e-15	1.22507e-15	7.4952e-16	8.91033e-19	1.79505e-21	1.20251e-24	1.28954e-27	2.71059e-31	1.88686e-34	5.94511e-38	3.39475e-41	6.54278e-45	2.77963e-48	5.41013e-52	1.79929e-55	1.4942e-59	4.6757e-63	9.25507e-67	2.71439e-70	5.66258e-74	1.40213e-77	2.93204e-81	5.87909e-85	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.23191e-06	0.000158807	0.000168018	0.00948729	0.290901	0.00277669	9.7224e-06	0.000392895	0.0162947	0.657745	0.021216	0.000844921	3.26032e-06	3.84911e-08	1.58407e-10	1.3364e-12	1.16463e-15	4.28769e-18	5.62715e-21	2.38026e-23	1.55876e-26	4.94101e-29	6.48969e-32	1.92981e-34	6.91118e-38	1.57416e-40	1.55614e-43	3.94847e-46	2.65646e-49	5.70453e-52	5.22346e-55	9.19641e-58	1.81619e-61	2.94673e-64	2.23913e-67	4.02209e-70	3.88912e-73	6.66982e-76	9.50727e-79	1.43749e-81	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.84367e-09	2.81645e-06	3.53175e-06	0.000866316	0.173894	0.00019274	9.46031e-08	1.64687e-05	0.00458406	0.811906	0.00846945	6.41522e-05	3.69324e-08	6.70728e-11	3.30357e-14	6.68575e-16	1.02078e-19	1.80128e-21	8.44881e-25	5.94026e-26	1.23849e-29	3.41691e-31	7.29191e-35	1.60822e-36	7.12588e-41	5.47378e-43	4.27415e-47	5.20789e-49	1.52627e-53	1.27873e-55	9.86276e-59	1.29244e-60	1.18353e-65	8.56065e-68	1.03874e-70	9.62361e-73	1.0904e-77	9.74619e-80	1.67013e-82	1.22263e-84	
N12	3.55379e-11	3.70113e-08	1.88245e-07	0.000108798	0.0670862	6.55767e-05	4.67667e-08	5.98882e-06	0.00437259	0.918655	0.00967618	2.90865e-05	1.61069e-08	7.13851e-11	1.98184e-13	3.02563e-13	2.60976e-13	1.63666e-12	8.62097e-13	1.33141e-12	2.91092e-15	2.42846e-16	4.01245e-19	3.29503e-20	1.80809e-23	4.89309e-25	3.80851e-28	3.41613e-29	1.66144e-32	1.20712e-33	1.40922e-35	7.63836e-37	5.83765e-40	2.68908e-41	2.13316e-43	6.65235e-45	5.83099e-48	1.72608e-49	1.1626e-51	2.4149e-53	
