#Nodes with GAIN events with expectation above 0.5
N2: 1.19959
N4: 0.571773
CENT22: 1.19269
N7: 1.07907
CENT72: 0.859625
N8: 0.744681
N9: 1.84786
N10: 1.52026
Total number of gain events: 10.9715
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.514975
N5: 0.598463
CENT75: 0.895125
CENT72: 1.94394
N9: 0.91376
N10: 0.556445
Total number of loss events: 7.90932
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 1.44441
N4: 0.796164
CENT44: 1.90541
CENT75: 1.5326
N7: 0.930272
CENT25: 1.10702
CENT72: 2.9535
N8: 0.765267
N9: 1.90807
CENT74: 1.00962
N10: 1.60154
CENT26: 1.00367
CENT41: 1.00081
CENT59: 1.06726
CENT46: 1.0003
N25: 0.926624
Total number of duplication events: 22.7109
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N6:ML=7 to CENT53:ML=18  sum expections= 0.559849
	HEURISTIC ESTIMATION:	Gains = 4	Losses = 0	Duplications = 1	Demi-dupl = 0
N22:ML=10 to CENT28:ML=30  sum expections= 0.0541126
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 15	Duplications = 4	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	1.19959	0.192413	1.44441	0
N3	0.232962	0.0931126	0.201361	0
N4	0.571773	0.514975	0.796164	0
CENT22	1.19269	0.0509994	0.0351583	0
N5	0.0334728	0.598463	0.100812	0
N6	0.0591504	0.0136831	0.0131394	0
CENT44	0.00861739	0.335387	1.90541	0
CENT53	4	0	1	0
CENT75	0.0241321	0.895125	1.5326	0
N7	1.07907	0.458305	0.930272	0
CENT25	0.0564403	0.0604874	1.10702	0
CENT29	0.0646901	0.0637202	0.107023	0
CENT72	0.859625	1.94394	2.9535	0
N8	0.744681	0.0601037	0.765267	0
N9	1.84786	0.91376	1.90807	0
CENT17	0.00682371	0.00774384	0.00962563	0
CENT74	0.00342383	0.00458561	1.00962	0
N10	1.52026	0.556445	1.60154	0
CENT32	0.243613	0.244804	0.303769	0
N11	0.0272875	0.0228605	0.128784	0
N12	0.0293907	0.0274333	0.107705	0
N13	0.0432011	0.0477817	0.0635946	0
CENT26	0.0183074	0.0199316	1.00367	0
N14	0.00368165	0.00414177	0.00285362	0
CENT37	0.0128783	0.0131847	0.000812992	0
CENT41	0.00734733	0.00771473	1.00081	0
CENT59	0.107099	0.124251	1.06726	0
N15	0.0169652	0.0187121	0.103075	0
N16	0.0305698	0.0309084	0.0553301	0
CENT5	0.0547238	0.0559749	0.01656	0
N17	0.00802163	0.00879863	0.0124891	0
N18	0.00211123	0.00222567	0.00229288	0
CENT14	0.0143205	0.0146631	0.00177799	0
CENT34	0.0143205	0.0146631	0.00177799	0
CENT33	0.0247447	0.0252017	0.00407088	0
N19	0.0199263	0.0233397	0.061257	0
N20	0.00548351	0.0201027	0.00653926	0
N21	0.0167009	0.0039866	0.00219867	0
CENT16	0.0244303	0.0206719	0.00189498	0
CENT6	0.0244303	0.0206719	0.00189498	0
N22	0.00634782	0.277	0.00141463	0
CENT28	0	15	4	0
CENT36	0.299373	0.0120248	0.00266846	0
N23	0.0101502	0.00815706	0.00966039	0
N24	0.00266747	0.00254551	0.000677144	0
CENT9	0.0177524	0.0180155	0.000295412	0
CENT46	0.0127045	0.0136901	1.0003	0
N25	0.00973319	0.010073	0.926624	0
CENT3	0.00614724	0.0067143	0.0743481	0
CENT23	0.00614724	0.0067143	0.0743481	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
CENT22	3.19701	0.8515	2.4771	0
CENT44	2.10557	1.74803	4.4613	0
CENT53	6.09695	1.41265	3.55589	0
CENT75	2.06193	2.29409	4.07535	0
CENT25	2.56806	0.804319	3.68306	0
CENT29	2.57631	0.807552	2.68307	0
CENT72	2.05922	2.13636	4.39792	0
CENT17	2.59936	0.981608	2.68296	0
CENT74	2.59596	0.978449	3.68295	0
CENT32	2.50855	0.861353	2.67057	0
CENT26	2.38312	0.734556	3.67055	0
CENT37	2.38138	0.731951	2.67055	0
CENT41	2.37584	0.726481	3.67055	0
CENT59	2.42871	0.791094	3.67055	0
CENT5	2.39448	0.745005	2.67055	0
CENT14	2.36421	0.714717	2.67055	0
CENT34	2.36421	0.714717	2.67055	0
CENT33	2.37252	0.72303	2.67055	0
CENT16	2.37573	0.726222	2.67055	0
CENT6	2.37573	0.726222	2.67055	0
CENT28	2.34095	15.9786	6.66787	0
CENT36	2.64032	0.990589	2.67054	0
CENT9	2.35969	0.710179	2.67055	0
CENT46	2.35464	0.705854	3.67055	0
CENT3	2.35515	0.706406	3.67055	0
CENT23	2.35515	0.706406	3.67055	0
