NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.000553171	0.0159819	0.397171	0.0160876	0.392317	0.0433943	0.000975308	2.22847e-05	0.133497	4.29079e-19	1.42635e-37	2.5343e-56	7.19974e-72	1.68266e-77	3.19635e-79	2.14849e-78	1.09236e-77	2.39407e-77	1.42335e-77	4.49236e-81	3.46235e-80	2.26454e-79	1.23869e-78	5.55316e-78	2.098e-77	6.8822e-77	9.9451e-77	6.76073e-77	4.35849e-85	1.45392e-93	2.52458e-97	3.45685e-97	8.45529e-89	1.80476e-45	1.50333e-43	1.80734e-42	1.99476e-41	3.79041e-41	1.17736e-40	1.44126e-40	
N2	8.13974e-07	0.000178604	0.0248858	0.00629479	0.130333	0.198238	0.020259	0.0123855	0.607425	5.53774e-11	4.01575e-20	6.27991e-29	7.68583e-36	6.6524e-35	1.95837e-37	1.37507e-36	2.20818e-36	3.18339e-35	6.74498e-36	6.08832e-40	2.35785e-39	2.46118e-38	1.17282e-37	2.29059e-36	2.10102e-36	1.32745e-35	6.12969e-35	1.15627e-34	8.26043e-44	2.03487e-51	5.69926e-61	6.64405e-55	3.079e-63	1.42207e-71	4.64385e-81	4.89005e-89	5.09112e-99	2.79643e-108	7.58241e-118	4.17246e-125	
N3	6.77234e-08	4.15842e-05	0.0157698	0.00317705	0.124246	0.122289	0.0199192	0.00348131	0.711076	1.27714e-09	2.48736e-28	1.18191e-46	5.11573e-66	2.18515e-84	1.22463e-104	4.76042e-124	1.13216e-143	6.50706e-162	5.41763e-182	7.88921e-202	1.02124e-220	4.83254e-241	2.7998e-261	1.04148e-279	4.87842e-300	5.39164e-319	0	0	0	0	0	0	0	1.34205e-50	8.64713e-47	3.14433e-40	9.81552e-41	1.34348e-37	7.84536e-36	3.29156e-34	
N4	5.96239e-15	2.91679e-10	5.07873e-06	4.66516e-06	1.92309e-05	0.0091833	2.53247e-06	0.00313754	0.987648	2.91221e-13	1.3603e-21	2.52896e-30	2.12895e-48	8.69866e-56	5.65814e-64	9.09561e-73	7.26972e-82	2.12086e-90	4.60519e-111	4.16017e-130	7.17326e-151	4.82168e-165	7.57e-174	2.01649e-182	6.25365e-192	1.3278e-200	1.18171e-209	7.60813e-226	4.45446e-246	1.50409e-264	2.48689e-255	1.37246e-262	1.63796e-270	1.11862e-280	1.61578e-291	3.45984e-301	1.24853e-309	3.34828e-320	0	0	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.13663e-22	2.65082e-16	1.45365e-10	2.08833e-10	2.11662e-10	1.56821e-05	6.42135e-11	2.6858e-06	0.0446528	1.4037e-11	6.91201e-09	0.000398855	3.8819e-10	5.46101e-14	6.86259e-13	1.75844e-08	1.82233e-06	0.954928	2.0169e-20	2.62218e-31	1.67487e-39	2.89102e-49	2.52221e-58	1.09575e-65	2.6322e-76	2.87865e-32	1.41653e-27	3.60634e-34	9.37395e-45	1.25828e-53	5.0973e-62	5.53206e-71	1.83664e-82	2.4106e-90	1.62732e-101	8.88696e-108	1.74686e-119	6.49232e-130	1.85003e-140	1.26277e-149	
N6	1.69149e-29	1.79024e-21	3.69093e-14	5.70772e-14	2.28072e-12	1.90956e-07	6.78138e-10	8.63356e-09	0.0164098	5.11862e-14	1.88893e-11	1.22997e-05	3.34082e-12	1.33452e-08	1.22797e-15	8.65312e-12	4.07917e-08	0.983578	6.13723e-11	1.96312e-32	1.16196e-44	2.05255e-54	3.90086e-63	2.19617e-69	2.33363e-79	4.02757e-85	8.68184e-93	1.45057e-103	2.69896e-125	3.48578e-147	4.20413e-169	9.39236e-190	2.24513e-212	2.01431e-232	2.88435e-255	4.74763e-271	3.80634e-294	4.50253e-316	0	0	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	4.19849e-15	1.31989e-10	3.17939e-06	2.28467e-07	0.00387836	4.7323e-05	0.00125679	7.40229e-07	0.0125892	0.982224	1.28704e-14	9.0076e-22	2.86293e-30	2.10798e-48	2.91798e-57	6.51238e-66	2.93926e-75	3.48744e-82	7.41069e-92	2.67584e-101	5.35946e-121	1.52857e-141	4.83319e-162	2.29855e-181	1.54185e-202	3.76278e-222	2.62262e-242	5.63276e-263	3.68512e-284	1.16513e-304	0	0	0	0	0	0	0	0	0	0	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	6.64232e-05	0.00341135	0.143811	0.00771279	0.54041	0.0306381	0.0231479	0.000166558	0.0788457	0.17179	3.43893e-20	3.36472e-37	8.91948e-56	2.27425e-74	9.394e-94	7.26071e-113	7.68721e-133	1.21232e-149	1.38063e-169	1.13014e-188	5.47269e-208	7.43147e-228	1.94396e-247	1.55548e-265	7.0732e-286	3.30979e-304	3.45846e-323	0	0	0	0	0	0	2.98425e-200	6.11698e-54	1.00597e-45	3.36195e-43	2.83536e-43	6.60241e-37	1.34193e-35	
N9	2.18811e-17	1.15469e-12	6.06422e-08	2.96918e-09	0.000932939	1.65027e-07	0.000157535	8.81587e-09	0.000171355	0.998738	9.28592e-16	1.54456e-23	2.27022e-32	2.21836e-52	2.00503e-61	4.94605e-70	4.04734e-79	3.55775e-87	1.08022e-96	1.27703e-105	1.54363e-126	1.43929e-147	5.88904e-169	6.32487e-190	6.11641e-212	2.68105e-233	1.14442e-254	2.19067e-276	1.23024e-298	6.69657e-320	0	0	0	0	4.95076e-174	4.55466e-184	1.72195e-195	1.51666e-206	8.7847e-218	4.72034e-227	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	2.51976e-12	9.66822e-09	3.3033e-05	1.50417e-06	0.0249981	1.8187e-05	0.00260339	3.23032e-07	0.0015437	0.970802	1.12536e-20	5.03545e-40	1.62838e-60	8.07257e-76	1.56589e-85	1.7543e-95	6.94698e-106	5.22942e-114	2.27322e-124	9.54735e-134	5.00406e-144	4.19118e-154	2.48549e-164	1.11218e-173	2.24562e-184	1.24221e-184	8.60551e-192	3.80366e-199	1.04439e-209	6.17505e-216	1.60838e-226	2.17137e-236	9.51529e-247	5.09216e-257	1.29916e-265	1.60282e-274	3.34146e-285	2.25733e-295	1.11946e-305	4.87532e-314	
