#Nodes with GAIN events with expectation above 0.5
CENT44: 0.989731
N7: 0.835292
Total number of gain events: 3.33727
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.952856
CENT25: 0.998599
CENT72: 1.16012
N9: 0.59468
CENT74: 1.00086
N10: 0.600244
CENT26: 1.00001
CENT41: 1
CENT59: 1.0008
CENT28: 1
CENT46: 1
N25: 0.97402
Total number of duplication events: 12.0812
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N2: 0.57215
CENT44: 0.999987
CENT75: 1.00042
CENT72: 1.22087
CENT28: 1
Total number of demi-dulications events: 6.37064
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.339838	0	0.324476	0.57215
N3	0.0208951	0	0.00691815	0.0990788
N4	0.169059	0	0.0150025	0.259025
CENT22	0.00316314	0	5.81062e-06	0.0092152
N5	0.000681376	0	0.952856	0.013758
N6	2.69949e-06	0	0.0282594	0.000405674
CENT44	0.989731	0	0.0164098	0.999987
CENT53	4.29e-08	0	0.01641	1.25038e-05
CENT75	1.90199e-06	0	0.0446685	1.00042
N7	0.835292	0	0.12902	0.176275
CENT25	0.00839428	0	0.998599	0.0117296
CENT29	0.0126452	0	0.0038141	0.00143919
CENT72	0.463088	0	1.16012	1.22087
N8	0.133578	0	0.107003	0.286808
N9	0.191534	0	0.59468	0.382079
CENT17	0.000171537	0	0.000926915	0.000169929
CENT74	0.000102813	0	1.00086	0.000294619
N10	0.165721	0	0.600244	0.328012
CENT32	0.00171263	0	0.0236939	0.00525977
N11	0.00148303	0	0.0199666	0.00272638
N12	7.30812e-05	0	0.00401149	0.000334499
N13	8.21238e-06	0	0.00080736	5.79774e-05
CENT26	3.942e-08	0	1.00001	5.67611e-07
N14	7.25868e-08	0	1.22404e-05	5.49953e-07
CENT37	3.86662e-09	0	1.20627e-06	5.25565e-08
CENT41	2.48323e-09	0	1	3.08026e-08
CENT59	7.19786e-06	0	1.0008	9.42202e-05
N15	7.73998e-05	0	0.0041021	0.000336127
N16	3.45967e-06	0	0.000677348	4.50781e-05
CENT5	1.81839e-07	0	5.69921e-05	3.73501e-06
N17	8.18368e-08	0	5.32016e-05	2.47813e-06
N18	1.61763e-09	0	3.45073e-06	8.11174e-08
CENT14	1.26182e-10	0	9.36087e-07	3.21434e-08
CENT34	1.26182e-10	0	9.36087e-07	3.21434e-08
CENT33	1.6732e-09	0	4.33651e-06	2.13907e-07
N19	3.4809e-06	0	0.00071088	4.24168e-05
N20	3.55753e-08	0	2.47035e-05	1.07464e-06
N21	4.8175e-10	0	1.09749e-06	3.07423e-08
CENT16	4.35397e-11	0	3.29753e-07	1.20021e-08
CENT6	4.35397e-11	0	3.29753e-07	1.20021e-08
N22	4.92967e-10	0	1.36235e-06	4.32301e-08
CENT28	1.48686e-09	0	1	1
CENT36	1.60041e-11	0	6.32834e-08	2.7366e-09
N23	3.5551e-08	0	2.5434e-05	1.13293e-06
N24	4.9222e-10	0	5.89641e-07	1.75785e-08
CENT9	4.16128e-11	0	8.89453e-08	3.35813e-09
CENT46	2.4392e-11	0	1	1.36251e-09
N25	7.82594e-10	0	0.97402	1.50578e-08
CENT3	3.44364e-09	0	0.0259804	2.84437e-08
CENT23	3.44364e-09	0	0.0259804	2.84437e-08
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
CENT22	0.532956	0	0.346403	0.93947
CENT44	1.52021	0	1.34392	1.94441
CENT53	0.530477	0	1.34392	0.944431
CENT75	0.530476	0	1.34392	1.94443
CENT25	1.20442	0	1.45901	0.859234
CENT29	1.20867	0	0.464229	0.848944
CENT72	0.802926	0	1.4846	1.79302
CENT17	0.325284	0	0.70261	0.669057
CENT74	0.325215	0	1.70255	0.669181
CENT32	0.301012	0	0.730941	0.62008
CENT26	0.300864	0	1.73205	0.61794
CENT37	0.300864	0	0.732046	0.61794
CENT41	0.300864	0	1.73205	0.61794
CENT59	0.300863	0	1.73203	0.617975
CENT5	0.300864	0	0.732051	0.617932
CENT14	0.300864	0	0.732051	0.617931
CENT34	0.300864	0	0.732051	0.617931
CENT33	0.300864	0	0.732051	0.617931
CENT16	0.300864	0	0.732053	0.617926
CENT6	0.300864	0	0.732053	0.617926
CENT28	0.300864	0	1.73205	1.61793
CENT36	0.300864	0	0.732053	0.617926
CENT9	0.300864	0	0.732053	0.617926
CENT46	0.300864	0	1.73205	0.617926
CENT3	0.300864	0	1.73205	0.617926
CENT23	0.300864	0	1.73205	0.617926
