NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	6.47656e-08	3.384e-06	0.00153174	6.94885e-06	0.982875	0.000176882	0.000441325	2.99093e-08	8.93444e-05	0.0148733	2.08116e-06	2.85935e-11	1.31388e-18	2.06152e-21	2.90823e-24	3.60849e-27	3.73151e-30	3.17669e-33	2.25834e-36	1.36995e-39	7.24172e-43	3.39724e-46	1.43615e-49	5.54112e-53	1.9721e-56	6.53239e-60	2.02915e-63	5.94929e-67	1.65558e-70	4.39424e-74	1.11717e-77	2.73084e-81	6.43984e-85	1.46948e-88	3.25345e-92	7.0061e-96	1.47071e-99	3.01568e-103	6.05932e-107	1.31397e-110	
N2	1.48293e-10	1.54394e-07	0.000126566	0.000240788	0.462064	0.00304127	0.0681235	0.000926665	0.0607308	0.404683	5.93538e-05	4.29767e-06	1.10446e-07	1.16983e-07	3.39681e-10	1.55548e-13	5.11587e-17	1.45135e-17	4.55292e-19	7.69241e-21	4.61258e-25	1.86454e-28	4.02997e-32	2.38104e-33	1.37256e-35	1.70504e-36	1.06895e-37	1.29086e-38	1.24102e-41	1.24173e-43	1.05013e-47	1.99315e-50	1.40168e-54	4.02203e-58	8.29435e-62	2.08486e-64	1.24333e-68	2.74088e-71	2.10727e-74	5.94392e-77	
N3	1.79261e-11	4.30376e-08	8.81835e-05	0.000160974	0.295254	0.00478135	0.0236825	0.000399072	0.0705842	0.604766	0.000283288	2.6186e-07	8.39665e-10	1.67451e-11	3.47011e-15	3.46349e-19	1.95379e-23	1.28578e-25	1.11276e-28	1.92253e-31	2.47798e-35	2.45563e-39	5.82102e-43	1.4057e-46	6.42576e-51	5.61259e-53	9.16067e-56	5.2566e-58	3.56192e-62	4.2386e-65	1.28472e-69	6.13378e-73	2.8507e-77	1.06183e-80	3.94898e-84	2.41147e-86	1.60766e-90	9.08557e-93	2.67153e-96	2.02509e-98	
N4	3.45841e-17	2.65418e-12	1.25584e-07	1.72962e-06	2.13255e-05	0.00124088	1.29394e-06	0.000164141	0.995059	0.00350966	1.31955e-06	6.01579e-07	1.62099e-10	6.15147e-13	1.87353e-16	2.572e-17	3.85694e-18	7.33573e-18	3.77715e-21	6.16557e-24	4.56205e-29	2.20737e-33	3.21151e-38	1.13153e-42	3.42041e-48	6.31757e-52	2.37687e-55	3.51409e-58	1.17315e-62	7.59254e-66	3.94265e-71	3.33485e-75	6.62991e-80	8.37475e-83	1.30297e-86	1.4242e-89	2.79982e-94	1.93996e-97	3.58723e-101	2.15367e-104	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.20947e-23	1.57254e-17	8.68603e-12	6.19999e-11	1.1519e-09	2.75303e-06	3.06629e-08	1.44277e-07	0.129247	2.96282e-06	9.14302e-10	1.80239e-05	6.61551e-05	5.69683e-06	5.391e-10	1.20492e-10	2.15982e-06	0.870279	0.0003746	1.94496e-06	2.99266e-12	9.11894e-17	2.90883e-18	4.11718e-18	1.18188e-19	9.37732e-19	3.02204e-19	6.93205e-22	1.91364e-26	2.32567e-27	3.21858e-29	6.67474e-30	3.77752e-33	2.48901e-31	3.9689e-33	1.59465e-33	1.41452e-37	8.56289e-40	5.89891e-42	1.49859e-42	
N6	6.13517e-28	3.06885e-21	3.47565e-15	3.20609e-14	1.74873e-11	4.10732e-08	2.2122e-08	8.17535e-08	0.0904125	6.89513e-08	1.08199e-12	3.49957e-07	5.99475e-06	7.37676e-06	1.26888e-10	1.8892e-10	9.76419e-07	0.902152	0.00742038	4.54242e-08	1.63762e-12	8.37371e-19	1.44454e-23	1.67848e-22	6.32246e-22	1.7981e-20	1.47709e-19	9.63456e-22	1.2311e-27	4.85988e-33	7.7427e-39	5.39086e-43	4.30824e-48	4.30599e-51	6.48595e-56	2.61464e-59	1.26842e-66	2.70487e-72	1.84201e-77	1.74114e-81	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.21409e-17	3.97773e-13	1.63112e-08	7.43225e-09	0.0115143	5.64157e-07	0.000182131	3.23918e-08	0.000262241	0.987996	4.48003e-05	1.81027e-07	1.91299e-07	2.95055e-10	3.66443e-14	2.37903e-18	9.8852e-20	6.24736e-19	2.66411e-20	2.15016e-20	9.52355e-25	1.03492e-28	4.95387e-33	1.8429e-36	2.63251e-41	1.00072e-44	8.9719e-49	4.56956e-53	3.72732e-58	8.30087e-62	3.38037e-67	3.45772e-71	2.15811e-76	2.44915e-80	1.09815e-84	2.54533e-88	5.66382e-94	1.78414e-98	1.00861e-102	2.33043e-106	
CENT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N8	5.70706e-09	6.78526e-07	0.000339913	3.96578e-05	0.838118	0.000151777	0.00169417	1.40875e-05	8.44363e-05	0.159401	0.000154281	1.66025e-06	1.30478e-09	6.05289e-11	2.88817e-13	2.99815e-16	3.04374e-20	3.4772e-22	3.97838e-25	1.12779e-26	5.12735e-31	4.01992e-34	1.4158e-37	3.53239e-40	1.12038e-44	2.97967e-47	4.17663e-50	2.4298e-52	4.0196e-56	4.52224e-58	1.62207e-62	5.15385e-65	2.80876e-69	1.31104e-72	5.7365e-76	4.634e-78	2.06696e-82	1.14634e-84	1.7202e-87	2.01938e-89	
