#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.221698
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.882151
CENT72: 0.589424
Total number of loss events: 1.61079
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.869736
CENT25: 1.01148
CENT72: 1.53825
N9: 0.820107
CENT74: 1.00168
N10: 0.782843
CENT26: 1.00008
CENT41: 1.00001
CENT59: 1.00319
CENT28: 1
CENT46: 1
N25: 0.961329
Total number of duplication events: 13.8213
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
CENT75: 0.999945
CENT72: 0.926607
CENT28: 0.999999
Total number of demi-dulications events: 3.32871
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N6:ML=18 to CENT44:ML=28  sum expections= 0.188341
	HEURISTIC ESTIMATION:	Gains = 1	Losses = 0	Duplications = 0	Demi-dupl = 1
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0143148	0.0648994	0.441128	0.0835114
N3	0.00355019	0.0134155	0.165445	0.0452595
N4	0.0495804	0.882151	0.24989	0.0758806
CENT22	0.00062193	0.00399827	2.53337e-05	0.00124115
N5	0.000280353	0.0043624	0.869736	0.00321086
N6	0.0070435	0.000112733	0.038791	0.0001771
CENT44	1	0	0	1
CENT53	0.000209632	0.00763515	0.0904127	6.46753e-06
CENT75	6.50071e-05	0.000386943	0.129316	0.999945
N7	0.0762088	0.0114084	0.284538	0.0316848
CENT25	0.000835324	0.000659074	1.01148	0.000249961
CENT29	0.000418035	0.000191805	0.0114829	0.000240079
CENT72	0.0368765	0.589424	1.53825	0.926607
N8	0.00131998	0.00135519	0.14342	0.00503903
N9	0.0108934	0.010809	0.820107	0.0352797
CENT17	0.000115691	0.000118506	0.00167791	1.11167e-05
CENT74	2.71248e-06	5.40729e-06	1.00168	1.11197e-05
N10	0.0084863	0.00884317	0.782843	0.0213768
CENT32	0.00374696	0.00376632	0.045566	0.000811016
N11	0.000127255	0.000157051	0.0322092	0.000151716
N12	0.000134051	0.000132491	0.0104623	7.85753e-05
