NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N1	0.0224609	0.022592	0.0228129	0.0230937	0.0234128	0.0237536	0.0241034	0.0244522	0.0247917	0.0251155	0.0254181	0.0256952	0.0259433	0.0261596	0.0263422	0.0264896	0.0266008	0.0266756	0.0267141	0.0267168	0.0266849	0.0266197	0.026523	0.026397	0.0262442	0.0260675	0.0258699	0.0256549	0.0254261	0.0251875	0.0249432	0.0246979	0.0244562	0.0242233	0.0240045	0.0238055	0.0236324	0.0234918	0.0233906	0.0233361	
N2	0.00372222	0.00488587	0.00636207	0.00817708	0.0103419	0.0128487	0.0156685	0.0187513	0.0220269	0.0254093	0.0288005	0.0320964	0.0351931	0.0379924	0.0404071	0.0423656	0.0438146	0.0447211	0.0450732	0.044879	0.0441649	0.0429736	0.04136	0.0393889	0.0371303	0.0346568	0.0320401	0.0293483	0.0266439	0.0239816	0.021408	0.0189605	0.0166675	0.0145486	0.0126153	0.0108721	0.00931733	0.00794425	0.00674243	0.00569869	
N3	0.00379117	0.00500913	0.00659382	0.0085893	0.0110228	0.0138973	0.0171859	0.0208291	0.024735	0.0287831	0.0328317	0.0367267	0.0403133	0.0434462	0.0460005	0.0478797	0.0490209	0.0493983	0.0490222	0.0479362	0.0462123	0.0439442	0.0412399	0.0382141	0.0349815	0.0316508	0.0283201	0.0250732	0.021978	0.0190861	0.0164327	0.0140384	0.0119106	0.0100463	0.00843419	0.00705679	0.00589282	0.00491891	0.00411108	0.00344591	
N4	5.7687e-06	1.53781e-05	4.58799e-05	0.000130417	0.000343377	0.000832277	0.00185534	0.0038082	0.00721212	0.0126345	0.0205299	0.0310278	0.0437358	0.0576496	0.0712424	0.0827426	0.0905291	0.0935169	0.0914044	0.084705	0.0745704	0.0624814	0.0499159	0.0380865	0.0278009	0.0194437	0.0130491	0.00841575	0.00522299	0.0031236	0.00180262	0.00100532	0.000542759	0.000284329	0.000145052	7.25337e-05	3.60111e-05	1.82235e-05	9.90987e-06	6.35068e-06	
CENT22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.35091e-13	1.46991e-12	1.86672e-11	2.08692e-10	2.01427e-09	1.67727e-08	1.20645e-07	7.51045e-07	4.05586e-06	1.90495e-05	7.80315e-05	0.000279578	0.000878774	0.00243063	0.00593437	0.0128296	0.0246386	0.0421675	0.0645216	0.0885531	0.109366	0.121942	0.123142	0.112987	0.0944899	0.0722483	0.0506614	0.0326764	0.0194434	0.0107043	0.00546834	0.00260006	0.00115452	0.00048076	0.00018887	7.07065e-05	2.57068e-05	9.43693e-06	3.8009e-06	1.98124e-06	
N6	3.51816e-20	1.31722e-18	6.03739e-17	2.31937e-15	7.24506e-14	1.83768e-12	3.7916e-11	6.37633e-10	8.75672e-09	9.83817e-08	9.05854e-07	6.84801e-06	4.2588e-05	0.000218365	0.000925427	0.00325101	0.00949823	0.0231649	0.0473548	0.0815043	0.118669	0.146889	0.155367	0.141162	0.110755	0.075443	0.044854	0.0234007	0.0107697	0.00439556	0.00159925	0.000521396	0.000153125	4.07352e-05	9.87977e-06	2.20428e-06	4.59543e-07	9.26796e-08	1.98769e-08	6.09756e-09	
CENT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CENT53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
