"","Ale_1","Ale_2","Zub_10","Beij_2_1","F15_1","Tinasu_2","Cal1_Chile","F16_2","SUI3_1","Can_3","IT5_1","Chin_1_2","Chin_2_2_HaploIV","Tinasu_1","F_21_1","Azo_3","F5_1","IT9_2","F5_2","IT_4_3","F8_1","Mar3","Aus_1","ES1_2","Kwa_3","S_Afr_1","Aus_2","Kal_2","Kal_3","ES_4_2","ES_4_3","POR_3_3","Kwa_1","Hin_3","Boy_1","Ecu_1","Mx-4","Mx-7","Mx_Va_2","Mx-6","Mx_Va_1","Mx-5","Out_1","Out_3","Per2_2_HaploV","Mx-10","Mx-8","Mx_8_2e_individu","Mx-3","Mx_Mac_2","Mx-12","Mx-13","Mx-14","Mx-11","Teo-4","Mx-17","Mx-21","Mx-20","Mx-22","Mx_23_c","Mx_Ro_1","Mx_Ro_2","Mx-2","Mx-15","Mx-16","Mx-9","Lim_1","Lim_2","PORcol4_3","Bra_1","Car_8","ES_8_1","SUI1_1","EScol7_10","EScol1_1","ES6_1","IT18_2","EScol2_2","EScol8_1","EScol8_2","EScol9_1","IT16_2","Port4_2","F20_1","Beij_1_2","F15_2"
"Ale_1",0,0.0047340311,0.0053892911,0.0054230469,0.0056207104,0.004734248,0.005672045,0.00556749,0.0076985293,0.0040167235,0.0060753451,0.0037943581,0.0041596138,0.008641114,0.0034554086,0.004834777,0.0051237401,0.0096745083,0.0038573743,0.0025156885,0.0094537772,0.0029875862,0.06233409,0.072931417,0.0678476547,0.0716962672,0.0529651927,0.0418487147,0.0423753953,0.0420019065,0.0420827868,0.0283456429,0.0269251598,0.023180032,0.0767953543,0.2492831226,0.2530600447,0.2675782583,0.2573030961,0.2724084657,0.2558191677,0.2468399865,1.4724148363,1.4754308895,1.4778053682,0.1665575243,0.1647841591,0.1657201198,0.2008993312,0.2288959233,0.2154555601,0.1793645012,0.1824790335,0.1655726625,0.1791588734,0.1757130223,0.1741572321,0.1809630081,0.1797855407,0.1602393197,0.1404503928,0.126764766,0.1196949258,0.097542245,0.0969335482,0.1062913287,0.0847073284,0.0848591155,0.0252726721,0.0305269204,0.0398734475,0.0425319038,0.0395043973,0.0441743968,0.0395760358,0.0392952407,0.0197605971,0.0213715854,0.0320764523,0.0332985983,0.0207256479,0.0395721114,0.0328585043,0.0200525234,0.0065243445,0.004052491
"Ale_2",0.0047340311,0,0.0023608546,0.0026223484,0.0028200119,0.0024624333,0.0038065723,0.0037020173,0.0058330566,0.0021512508,0.0042098724,0.002707936,0.0030731917,0.0075546919,0.0023689865,0.0039996861,0.0052222822,0.0097730504,0.0048496852,0.0035079994,0.0104460881,0.0039798971,0.0635750667,0.0741723937,0.0690886314,0.0729372439,0.0542061694,0.0430896914,0.043616372,0.0432428832,0.0433237635,0.0295866196,0.0281661365,0.0244210087,0.078036331,0.2505240993,0.2543010214,0.268819235,0.2585440728,0.2736494424,0.2570601444,0.2480809632,1.473655813,1.4766718662,1.4790463449,0.167798501,0.1660251358,0.1669610965,0.2021403079,0.2301369,0.2166965368,0.1806054779,0.1837200102,0.1668136392,0.1803998501,0.176953999,0.1753982088,0.1822039848,0.1810265174,0.1614802964,0.1416913695,0.1280057427,0.1209359025,0.0987832217,0.0981745249,0.1075323054,0.0859483051,0.0861000922,0.0265136488,0.0317678971,0.0411144242,0.0437728805,0.040745374,0.0454153735,0.0408170125,0.0405362174,0.0210015738,0.0226125621,0.033317429,0.034539575,0.0219666246,0.0408130881,0.034099481,0.0212935001,0.0087705604,0.0062987069
"Zub_10",0.0053892911,0.0023608546,0,0.0032776084,0.0034752719,0.0031176933,0.0044618323,0.0043572773,0.0064883166,0.0028065108,0.0048651324,0.003363196,0.0037284517,0.0082099519,0.0030242465,0.0046549461,0.0058775422,0.0104283104,0.0055049452,0.0041632594,0.0111013481,0.0046351571,0.0642303267,0.0748276537,0.0697438914,0.0735925039,0.0548614294,0.0437449514,0.044271632,0.0438981432,0.0439790235,0.0302418796,0.0288213965,0.0250762687,0.078691591,0.2511793593,0.2549562814,0.269474495,0.2591993328,0.2743047024,0.2577154044,0.2487362232,1.474311073,1.4773271262,1.4797016049,0.168453761,0.1666803958,0.1676163565,0.2027955679,0.23079216,0.2173517968,0.1812607379,0.1843752702,0.1674688992,0.1810551101,0.177609259,0.1760534688,0.1828592448,0.1816817774,0.1621355564,0.1423466295,0.1286610027,0.1215911625,0.0994384817,0.0988297849,0.1081875654,0.0866035651,0.0867553522,0.0271689088,0.0324231571,0.0417696842,0.0444281405,0.041400634,0.0460706335,0.0414722725,0.0411914774,0.0216568338,0.0232678221,0.033972689,0.035194835,0.0226218846,0.0414683481,0.034754741,0.0219487601,0.0094258204,0.0069539669
"Beij_2_1",0.0054230469,0.0026223484,0.0032776084,0,0.0029223653,0.0031514491,0.0044955881,0.0043910331,0.0065220724,0.0028402666,0.0048988882,0.0033969518,0.0037622075,0.0082437077,0.0030580023,0.0046887019,0.005911298,0.0104620662,0.005538701,0.0041970152,0.0111351039,0.0046689129,0.0642640825,0.0748614095,0.0697776472,0.0736262597,0.0548951852,0.0437787072,0.0443053878,0.043931899,0.0440127793,0.0302756354,0.0288551523,0.0251100245,0.0787253468,0.2512131151,0.2549900372,0.2695082508,0.2592330886,0.2743384582,0.2577491602,0.248769979,1.4743448288,1.477360882,1.4797353607,0.1684875168,0.1667141516,0.1676501123,0.2028293237,0.2308259158,0.2173855526,0.1812944937,0.184409026,0.167502655,0.1810888659,0.1776430148,0.1760872246,0.1828930006,0.1817155332,0.1621693122,0.1423803853,0.1286947585,0.1216249183,0.0994722375,0.0988635407,0.1082213212,0.0866373209,0.086789108,0.0272026646,0.0324569129,0.04180344,0.0444618963,0.0414343898,0.0461043893,0.0415060283,0.0412252332,0.0216905896,0.0233015779,0.0340064448,0.0352285908,0.0226556404,0.0415021039,0.0347884968,0.0219825159,0.0094595762,0.0069877227
"F15_1",0.0056207104,0.0028200119,0.0034752719,0.0029223653,0,0.0033491126,0.0046932516,0.0045886966,0.0067197359,0.0030379301,0.0050965517,0.0035946153,0.003959871,0.0084413712,0.0032556658,0.0048863654,0.0061089615,0.0106597297,0.0057363645,0.0043946787,0.0113327674,0.0048665764,0.064461746,0.075059073,0.0699753107,0.0738239232,0.0550928487,0.0439763707,0.0445030513,0.0441295625,0.0442104428,0.0304732989,0.0290528158,0.025307688,0.0789230103,0.2514107786,0.2551877007,0.2697059143,0.2594307521,0.2745361217,0.2579468237,0.2489676425,1.4745424923,1.4775585455,1.4799330242,0.1686851803,0.1669118151,0.1678477758,0.2030269872,0.2310235793,0.2175832161,0.1814921572,0.1846066895,0.1677003185,0.1812865294,0.1778406783,0.1762848881,0.1830906641,0.1819131967,0.1623669757,0.1425780488,0.128892422,0.1218225818,0.099669901,0.0990612042,0.1084189847,0.0868349844,0.0869867715,0.0274003281,0.0326545764,0.0420011035,0.0446595598,0.0416320533,0.0463020528,0.0417036918,0.0414228967,0.0218882531,0.0234992414,0.0342041083,0.0354262543,0.0228533039,0.0416997674,0.0349861603,0.0221801794,0.0096572397,0.0071853862
"Tinasu_2",0.004734248,0.0024624333,0.0031176933,0.0031514491,0.0033491126,0,0.0038067892,0.0037022342,0.0058332735,0.0021514677,0.0042100893,0.0027081529,0.0030734086,0.0075549088,0.0023692034,0.003999903,0.0052224991,0.0097732673,0.0048499021,0.0035082163,0.010446305,0.003980114,0.0635752836,0.0741726106,0.0690888483,0.0729374608,0.0542063863,0.0430899083,0.0436165889,0.0432431001,0.0433239804,0.0295868365,0.0281663534,0.0244212256,0.0780365479,0.2505243162,0.2543012383,0.2688194519,0.2585442897,0.2736496593,0.2570603613,0.2480811801,1.4736560299,1.4766720831,1.4790465618,0.1677987179,0.1660253527,0.1669613134,0.2021405248,0.2301371169,0.2166967537,0.1806056948,0.1837202271,0.1668138561,0.180400067,0.1769542159,0.1753984257,0.1822042017,0.1810267343,0.1614805133,0.1416915864,0.1280059596,0.1209361194,0.0987834386,0.0981747418,0.1075325223,0.085948522,0.0861003091,0.0265138657,0.031768114,0.0411146411,0.0437730974,0.0407455909,0.0454155904,0.0408172294,0.0405364343,0.0210017907,0.022612779,0.0333176459,0.0345397919,0.0219668415,0.040813305,0.0340996979,0.021293717,0.0087707773,0.0062989238
"Cal1_Chile",0.005672045,0.0038065723,0.0044618323,0.0044955881,0.0046932516,0.0038067892,0,0.00267904,0.0062958733,0.0028956169,0.0049542385,0.0036459499,0.0040112056,0.0084927058,0.0033070004,0.0049377,0.0061602961,0.0107110643,0.0057876991,0.0044460133,0.011384102,0.004917911,0.0645130806,0.0751104076,0.0700266453,0.0738752578,0.0551441833,0.0440277053,0.0445543859,0.0441808971,0.0442617774,0.0305246335,0.0291041504,0.0253590226,0.0789743449,0.2514621132,0.2552390353,0.2697572489,0.2594820867,0.2745874563,0.2579981583,0.2490189771,1.4745938269,1.4776098801,1.4799843588,0.1687365149,0.1669631497,0.1678991104,0.2030783218,0.2310749139,0.2176345507,0.1815434918,0.1846580241,0.1677516531,0.181337864,0.1778920129,0.1763362227,0.1831419987,0.1819645313,0.1624183103,0.1426293834,0.1289437566,0.1218739164,0.0997212356,0.0991125388,0.1084703193,0.086886319,0.0870381061,0.0274516627,0.032705911,0.0420524381,0.0447108944,0.0416833879,0.0463533874,0.0417550264,0.0414742313,0.0219395877,0.023550576,0.0342554429,0.0354775889,0.0229046385,0.041751102,0.0350374949,0.022231514,0.0097085743,0.0072367208
"F16_2",0.00556749,0.0037020173,0.0043572773,0.0043910331,0.0045886966,0.0037022342,0.00267904,0,0.0061913183,0.0027910619,0.0048496835,0.0035413949,0.0039066506,0.0083881508,0.0032024454,0.004833145,0.0060557411,0.0106065093,0.0056831441,0.0043414583,0.011279547,0.004813356,0.0644085256,0.0750058526,0.0699220903,0.0737707028,0.0550396283,0.0439231503,0.0444498309,0.0440763421,0.0441572224,0.0304200785,0.0289995954,0.0252544676,0.0788697899,0.2513575582,0.2551344803,0.2696526939,0.2593775317,0.2744829013,0.2578936033,0.2489144221,1.4744892719,1.4775053251,1.4798798038,0.1686319599,0.1668585947,0.1677945554,0.2029737668,0.2309703589,0.2175299957,0.1814389368,0.1845534691,0.1676470981,0.181233309,0.1777874579,0.1762316677,0.1830374437,0.1818599763,0.1623137553,0.1425248284,0.1288392016,0.1217693614,0.0996166806,0.0990079838,0.1083657643,0.086781764,0.0869335511,0.0273471077,0.032601356,0.0419478831,0.0446063394,0.0415788329,0.0462488324,0.0416504714,0.0413696763,0.0218350327,0.023446021,0.0341508879,0.0353730339,0.0228000835,0.041646547,0.0349329399,0.022126959,0.0096040193,0.0071321658
"SUI3_1",0.0076985293,0.0058330566,0.0064883166,0.0065220724,0.0067197359,0.0058332735,0.0062958733,0.0061913183,0,0.0049221012,0.0069807228,0.0056724342,0.0060376899,0.0105191901,0.0053334847,0.0069641843,0.0081867804,0.0127375486,0.0078141834,0.0064724976,0.0134105863,0.0069443953,0.0665395649,0.0771368919,0.0720531296,0.0759017421,0.0571706676,0.0460541896,0.0465808702,0.0462073814,0.0462882617,0.0325511178,0.0311306347,0.0273855069,0.0810008292,0.2534885975,0.2572655196,0.2717837332,0.261508571,0.2766139406,0.2600246426,0.2510454614,1.4766203112,1.4796363644,1.4820108431,0.1707629992,0.168989634,0.1699255947,0.2051048061,0.2331013982,0.219661035,0.1835699761,0.1866845084,0.1697781374,0.1833643483,0.1799184972,0.178362707,0.185168483,0.1839910156,0.1644447946,0.1446558677,0.1309702409,0.1239004007,0.1017477199,0.1011390231,0.1104968036,0.0889128033,0.0890645904,0.029478147,0.0347323953,0.0440789224,0.0467373787,0.0437098722,0.0483798717,0.0437815107,0.0435007156,0.023966072,0.0255770603,0.0362819272,0.0375040732,0.0249311228,0.0437775863,0.0370639792,0.0242579983,0.0117350586,0.0092632051
"Can_3",0.0040167235,0.0021512508,0.0028065108,0.0028402666,0.0030379301,0.0021514677,0.0028956169,0.0027910619,0.0049221012,0,0.0029515086,0.0019906284,0.0023558841,0.0068373843,0.0016516789,0.0032823785,0.0045049746,0.0090557428,0.0041323776,0.0027906918,0.0097287805,0.0032625895,0.0628577591,0.0734550861,0.0683713238,0.0722199363,0.0534888618,0.0423723838,0.0428990644,0.0425255756,0.0426064559,0.028869312,0.0274488289,0.0237037011,0.0773190234,0.2498067917,0.2535837138,0.2681019274,0.2578267652,0.2729321348,0.2563428368,0.2473636556,1.4729385054,1.4759545586,1.4783290373,0.1670811934,0.1653078282,0.1662437889,0.2014230003,0.2294195924,0.2159792292,0.1798881703,0.1830027026,0.1660963316,0.1796825425,0.1762366914,0.1746809012,0.1814866772,0.1803092098,0.1607629888,0.1409740619,0.1272884351,0.1202185949,0.0980659141,0.0974572173,0.1068149978,0.0852309975,0.0853827846,0.0257963412,0.0310505895,0.0403971166,0.0430555729,0.0400280664,0.0446980659,0.0400997049,0.0398189098,0.0202842662,0.0218952545,0.0326001214,0.0338222674,0.021249317,0.0400957805,0.0333821734,0.0205761925,0.0080532528,0.0055813993
