Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
0	20	20	20	20	10	20	10	10	10	10	20	20	11	10	10	10	10	10	9	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	7	28	10	10	20	20	7	27	9	18	8	28	9	9	8	8	8	8	8	8	9	10	8	8	8	8	10	10	10	10	10	10	10	10	9	9	9	9	9	9	11	11	10	10	9	10	10	10	20	20	10	10	10	10	9	9	9	9	9	9	9	9	8	8
10	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	16	28	10	10	20	20	15	27	15	18	14	28	8	9	15	15	16	15	8	8	8	10	8	8	8	8	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	9	10	9	9	9	9
20	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	20	20	10	10	20	20	10	10	8	28	10	10	20	20	14	27	8	18	7	28	8	9	7	7	7	7	4	8	5	10	4	4	5	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	5	5	5	5
30	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	10	20	10	10	20	20	10	10	6	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	14	14	6	7	5	10	6	6	6	6	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	6	5	6	6
40	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	9	10	10	20	20	20	10	10	20	20	9	10	20	20	10	10	14	28	10	10	20	20	14	27	14	18	28	28	7	9	14	14	14	14	7	7	7	10	7	7	6	7	7	10	10	10	10	10	9	10	10	10	9	10	9	9	10	10	10	10	10	10	10	10	20	20	10	10	9	10	9	9	9	9	7	9	6	7	6	6
50	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	20	20	10	10	20	20	10	10	6	28	10	10	20	20	13	27	15	18	14	28	10	9	13	14	10	13	4	10	8	10	3	4	2	3	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	8	10	3	4	2	2
60	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	10	20	5	10	10	20	5	10	4	28	10	10	20	20	14	27	7	18	14	28	8	9	7	7	7	7	8	8	4	10	4	4	1	4	2	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	5	10	1	5	1	1	1	1
70	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	20	10	10	20	20	10	10	6	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	14	14	6	7	6	10	6	6	4	6	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	4	10	4	4	4	4
80	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	4	28	10	10	20	20	7	27	8	18	7	28	9	9	7	8	8	7	4	8	8	10	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	4	5	4	4
90	20	20	20	20	10	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	20	5	10	10	20	10	10	2	28	10	10	10	20	14	27	8	18	7	28	8	9	7	7	7	7	4	8	4	10	2	4	2	2	2	10	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	5	10	5	5	2	5	1	2	1	1
100	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	10	20	10	10	20	20	10	10	7	28	10	10	20	20	7	27	8	18	7	28	9	9	8	8	8	8	5	9	10	10	6	5	2	7	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	4	10	2	4	2	2
110	20	20	20	20	10	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	20	10	10	20	20	10	10	20	20	10	10	5	28	10	10	10	20	7	27	8	18	7	28	9	9	8	8	9	8	10	9	10	10	5	10	5	5	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	5	5	5	5
120	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	10	20	10	10	5	28	10	10	20	20	14	27	7	18	14	28	9	9	7	7	8	7	10	9	10	10	5	10	5	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	5	5	5	5
130	20	20	20	20	10	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	20	10	10	20	20	10	10	13	28	10	10	10	20	7	27	8	18	7	28	9	9	8	8	8	8	10	9	10	10	12	10	6	13	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	6	5	6	6
